"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"4.1","0","81","4.3","2023-05-01 00:00","2023-05-01","5/1/2023 12:00 AM"
"3.2","0","83","3.8","2023-05-01 01:00","2023-05-01","5/1/2023 1:00 AM"
"2.6","0","84","3.4","2023-05-01 02:00","2023-05-01","5/1/2023 2:00 AM"
"2.6","0","85","3.1","2023-05-01 03:00","2023-05-01","5/1/2023 3:00 AM"
"2.3","0","86","2.8","2023-05-01 04:00","2023-05-01","5/1/2023 4:00 AM"
"2.9","0","84","3.4","2023-05-01 05:00","2023-05-01","5/1/2023 5:00 AM"
"5.3","0","77","5.8","2023-05-01 06:00","2023-05-01","5/1/2023 6:00 AM"
"7.1","0","70","8","2023-05-01 07:00","2023-05-01","5/1/2023 7:00 AM"
"8.9","0","65","9.8","2023-05-01 08:00","2023-05-01","5/1/2023 8:00 AM"
"10.2","0","59","11.3","2023-05-01 09:00","2023-05-01","5/1/2023 9:00 AM"
"11.5","0","55","12.6","2023-05-01 10:00","2023-05-01","5/1/2023 10:00 AM"
"13.4","0","52","14.2","2023-05-01 11:00","2023-05-01","5/1/2023 11:00 AM"
"14.3","0","50","15","2023-05-01 12:00","2023-05-01","5/1/2023 12:00 PM"
"18.3","0","50","18.3","2023-05-01 13:00","2023-05-01","5/1/2023 1:00 PM"
"18.7","0","50","18.7","2023-05-01 14:00","2023-05-01","5/1/2023 2:00 PM"
"18.9","0","51","18.9","2023-05-01 15:00","2023-05-01","5/1/2023 3:00 PM"
"18.8","0","56","18.8","2023-05-01 16:00","2023-05-01","5/1/2023 4:00 PM"
"17.7","0","62","17.7","2023-05-01 17:00","2023-05-01","5/1/2023 5:00 PM"
"12.2","0","71","13.6","2023-05-01 18:00","2023-05-01","5/1/2023 6:00 PM"
"11.2","0","77","12.7","2023-05-01 19:00","2023-05-01","5/1/2023 7:00 PM"
"6.5","0","79","8.9","2023-05-01 20:00","2023-05-01","5/1/2023 8:00 PM"
