"feelsLike","rain","humidity","temperature","time","datetime","datetimeWithTime"
"-0.4","0","74.99","2.9","12:00 AM","4/27/2023","4/27/2023 12:00 AM"
"-0.7","0","74.99","2.9","1:00 AM","4/27/2023","4/27/2023 1:00 AM"
"-0.1","0","74.99","2.9","2:00 AM","4/27/2023","4/27/2023 2:00 AM"
"-0.7","0","74.99","2.9","3:00 AM","4/27/2023","4/27/2023 3:00 AM"
"0.2","0","75.16","3.9","4:00 AM","4/27/2023","4/27/2023 4:00 AM"
"0.8","0","75.16","3.9","5:00 AM","4/27/2023","4/27/2023 5:00 AM"
"-0.4","0","80.65","2.9","6:00 AM","4/27/2023","4/27/2023 6:00 AM"
"1.7","0","70.09","4.9","7:00 AM","4/27/2023","4/27/2023 7:00 AM"
"3.3","0","60.8","5.9","8:00 AM","4/27/2023","4/27/2023 8:00 AM"
"6.0","0","53.01","7.9","9:00 AM","4/27/2023","4/27/2023 9:00 AM"
"5.0","0","45.74","7.9","10:00 AM","4/27/2023","4/27/2023 10:00 AM"
"5.7","0","49.25","7.9","11:00 AM","4/27/2023","4/27/2023 11:00 AM"
"6.9","0","49.54","8.9","12:00 PM","4/27/2023","4/27/2023 12:00 PM"
"6.4","0","42.74","8.9","1:00 PM","4/27/2023","4/27/2023 1:00 PM"
"7.5","0","43.04","9.9","2:00 PM","4/27/2023","4/27/2023 2:00 PM"
"7.1","0","43.04","9.9","3:00 PM","4/27/2023","4/27/2023 3:00 PM"
"7.3","0","46.32","9.9","4:00 PM","4/27/2023","4/27/2023 4:00 PM"
"7.5","0","43.04","9.9","5:00 PM","4/27/2023","4/27/2023 5:00 PM"
"6.7","0","46.03","8.9","6:00 PM","4/27/2023","4/27/2023 6:00 PM"
"6.9","0","49.54","8.9","7:00 PM","4/27/2023","4/27/2023 7:00 PM"
"6.7","0","57.01","7.9","8:00 PM","4/27/2023","4/27/2023 8:00 PM"
"5.7","0","71.25","5.7","9:00 PM","4/27/2023","4/27/2023 9:00 PM"
"4.9","0","73.73","4.9","10:00 PM","4/27/2023","4/27/2023 10:00 PM"
"4.2","0","76.3","4.2","11:00 PM","4/27/2023","4/27/2023 11:00 PM"
"3.6","0","77.31","3.6","12:00 AM","4/28/2023","4/28/2023 12:00 AM"
"3.2","0","77.81","3.2","1:00 AM","4/28/2023","4/28/2023 1:00 AM"
"2.3","0","81.75","2.3","2:00 AM","4/28/2023","4/28/2023 2:00 AM"
"1.7","0","86.57","1.7","3:00 AM","4/28/2023","4/28/2023 3:00 AM"
"1.2","0","89.07","1.2","4:00 AM","4/28/2023","4/28/2023 4:00 AM"
"0.6","0","92.33","0.6","5:00 AM","4/28/2023","4/28/2023 5:00 AM"
"0.3","0","93.68","0.3","6:00 AM","4/28/2023","4/28/2023 6:00 AM"
"1.8","0","89.13","1.8","7:00 AM","4/28/2023","4/28/2023 7:00 AM"
