"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"7.6","0","66","8","2023-04-22 00:00","2023-04-22","4/22/2023 12:00 AM"
"7","0","68","7.6","2023-04-22 01:00","2023-04-22","4/22/2023 1:00 AM"
"7.6","0","67","8","2023-04-22 02:00","2023-04-22","4/22/2023 2:00 AM"
"8.1","0","67","8.4","2023-04-22 03:00","2023-04-22","4/22/2023 3:00 AM"
"7.5","0","68","8.1","2023-04-22 04:00","2023-04-22","4/22/2023 4:00 AM"
"7.5","0","70","8.1","2023-04-22 05:00","2023-04-22","4/22/2023 5:00 AM"
"8.6","0","72","8.9","2023-04-22 06:00","2023-04-22","4/22/2023 6:00 AM"
"10.2","0","68","10.2","2023-04-22 07:00","2023-04-22","4/22/2023 7:00 AM"
"11.6","0","64","11.6","2023-04-22 08:00","2023-04-22","4/22/2023 8:00 AM"
"13.4","0","59","13.4","2023-04-22 09:00","2023-04-22","4/22/2023 9:00 AM"
"15.9","0","54","15","2023-04-22 10:00","2023-04-22","4/22/2023 10:00 AM"
"16.4","0","49","16.4","2023-04-22 11:00","2023-04-22","4/22/2023 11:00 AM"
"17.1","0","45","17.1","2023-04-22 12:00","2023-04-22","4/22/2023 12:00 PM"
"17.6","0","42","17.6","2023-04-22 13:00","2023-04-22","4/22/2023 1:00 PM"
"17.9","0","41","17.9","2023-04-22 14:00","2023-04-22","4/22/2023 2:00 PM"
"17.8","0","41","17.8","2023-04-22 15:00","2023-04-22","4/22/2023 3:00 PM"
"17.2","0","46","17.2","2023-04-22 16:00","2023-04-22","4/22/2023 4:00 PM"
"15.4","0","60","15.4","2023-04-22 17:00","2023-04-22","4/22/2023 5:00 PM"
"11.9","0","70","12.9","2023-04-22 18:00","2023-04-22","4/22/2023 6:00 PM"
"9.9","0","69","11.2","2023-04-22 19:00","2023-04-22","4/22/2023 7:00 PM"
"8.6","0","70","10.1","2023-04-22 20:00","2023-04-22","4/22/2023 8:00 PM"
"8","0","71","9.6","2023-04-22 21:00","2023-04-22","4/22/2023 9:00 PM"
"7.4","0","72","9.1","2023-04-22 22:00","2023-04-22","4/22/2023 10:00 PM"
"6.9","0","72","8.7","2023-04-22 23:00","2023-04-22","4/22/2023 11:00 PM"
"6.8","0","71","8.6","2023-04-23 00:00","2023-04-23","4/23/2023 12:00 AM"
"7.6","0","67","9.2","2023-04-23 01:00","2023-04-23","4/23/2023 1:00 AM"
"8","0","66","9.4","2023-04-23 02:00","2023-04-23","4/23/2023 2:00 AM"
"8","0","66","9.2","2023-04-23 03:00","2023-04-23","4/23/2023 3:00 AM"
"8","0","67","8.9","2023-04-23 04:00","2023-04-23","4/23/2023 4:00 AM"
"7.6","0","72","8.2","2023-04-23 05:00","2023-04-23","4/23/2023 5:00 AM"
"9.6","0","71","10","2023-04-23 06:00","2023-04-23","4/23/2023 6:00 AM"
"11.6","0","64","12.1","2023-04-23 07:00","2023-04-23","4/23/2023 7:00 AM"
"13.4","0","60","13.8","2023-04-23 08:00","2023-04-23","4/23/2023 8:00 AM"
"15.2","0","57","15.2","2023-04-23 09:00","2023-04-23","4/23/2023 9:00 AM"
"16.6","0","53","16.6","2023-04-23 10:00","2023-04-23","4/23/2023 10:00 AM"
"18.2","0","50","18.2","2023-04-23 11:00","2023-04-23","4/23/2023 11:00 AM"
"19.2","0","45","19.2","2023-04-23 12:00","2023-04-23","4/23/2023 12:00 PM"
"19.8","0","41","19.8","2023-04-23 13:00","2023-04-23","4/23/2023 1:00 PM"
"19.7","0","40","19.7","2023-04-23 14:00","2023-04-23","4/23/2023 2:00 PM"
"19.3","0","43","19.3","2023-04-23 15:00","2023-04-23","4/23/2023 3:00 PM"
"17.4","0","57","17.4","2023-04-23 16:00","2023-04-23","4/23/2023 4:00 PM"
"16.4","0","65","16.4","2023-04-23 17:00","2023-04-23","4/23/2023 5:00 PM"
"14","0","71","14.7","2023-04-23 18:00","2023-04-23","4/23/2023 6:00 PM"
"12.9","0","65","14","2023-04-23 19:00","2023-04-23","4/23/2023 7:00 PM"
"11.8","0","64","13.1","2023-04-23 20:00","2023-04-23","4/23/2023 8:00 PM"
"10.3","0","66","11.8","2023-04-23 21:00","2023-04-23","4/23/2023 9:00 PM"
"10.9","0","63","12.1","2023-04-23 22:00","2023-04-23","4/23/2023 10:00 PM"
"10.9","0","63","12.1","2023-04-23 23:00","2023-04-23","4/23/2023 11:00 PM"
"10.1","0","66","11.2","2023-04-24 00:00","2023-04-24","4/24/2023 12:00 AM"
"9.9","0","67","10.9","2023-04-24 01:00","2023-04-24","4/24/2023 1:00 AM"
