"feelsLike","rain","humidity","temperature","time2","date"
"7.2","0","54","10.3","4/23/2023, 12:00:00 AM","00:00"
"6.1","0","59","9.1","4/23/2023, 1:00:00 AM","01:00"
"5.4","0","65","8.3","4/23/2023, 2:00:00 AM","02:00"
"4.2","0","71","7.1","4/23/2023, 3:00:00 AM","03:00"
"3.6","0","73","6.5","4/23/2023, 4:00:00 AM","04:00"
"2.6","0","77","5.4","4/23/2023, 5:00:00 AM","05:00"
"2.1","0","79","5","4/23/2023, 6:00:00 AM","06:00"
"3.9","0","76","6.6","4/23/2023, 7:00:00 AM","07:00"
"8.8","0","64","10.8","4/23/2023, 8:00:00 AM","08:00"
"11.3","0","53","13.5","4/23/2023, 9:00:00 AM","09:00"
"14.3","0","48","16.1","4/23/2023, 10:00:00 AM","10:00"
"17.6","0","39","18.6","4/23/2023, 11:00:00 AM","11:00"
"19.2","0","37","19.8","4/23/2023, 12:00:00 PM","12:00"
"19.9","0","33","20.5","4/23/2023, 1:00:00 PM","13:00"
"20","0","34","20.9","4/23/2023, 2:00:00 PM","14:00"
"19.8","0","32","21.3","4/23/2023, 3:00:00 PM","15:00"
"19.4","0","31","21.4","4/23/2023, 4:00:00 PM","16:00"
"17.2","0","31","20.6","4/23/2023, 5:00:00 PM","17:00"
"16.8","0","36","19.6","4/23/2023, 6:00:00 PM","18:00"
"15.2","0","41","17.9","4/23/2023, 7:00:00 PM","19:00"
"13.1","0","48","15.5","4/23/2023, 8:00:00 PM","20:00"
"11.2","1","53","13.8","4/23/2023, 9:00:00 PM","21:00"
"10.5","2","51","13.4","4/23/2023, 10:00:00 PM","22:00"
"10.3","3","49","13.4","4/23/2023, 11:00:00 PM","23:00"
"10.5","10","47","13.6","4/24/2023, 12:00:00 AM","00:00"
"10.5","16","48","13.5","4/24/2023, 1:00:00 AM","01:00"
"10.5","23","48","13.5","4/24/2023, 2:00:00 AM","02:00"
"10.2","17","50","13.1","4/24/2023, 3:00:00 AM","03:00"
"9.7","12","51","12.6","4/24/2023, 4:00:00 AM","04:00"
"9.5","6","52","12.3","4/24/2023, 5:00:00 AM","05:00"
"9.2","4","52","12.1","4/24/2023, 6:00:00 AM","06:00"
"9.7","2","52","12.9","4/24/2023, 7:00:00 AM","07:00"
"10.6","0","49","14.1","4/24/2023, 8:00:00 AM","08:00"
"11.7","0","47","15.4","4/24/2023, 9:00:00 AM","09:00"
"13.8","0","42","17.6","4/24/2023, 10:00:00 AM","10:00"
"15.6","0","36","19.2","4/24/2023, 11:00:00 AM","11:00"
"16.6","11","33","19.9","4/24/2023, 12:00:00 PM","12:00"
"17.4","21","35","20.4","4/24/2023, 1:00:00 PM","13:00"
"17.8","32","31","21.1","4/24/2023, 2:00:00 PM","14:00"
"16.5","39","29","20.7","4/24/2023, 3:00:00 PM","15:00"
"16.3","45","29","20.6","4/24/2023, 4:00:00 PM","16:00"
"15","52","33","19.5","4/24/2023, 5:00:00 PM","17:00"
"13.8","46","42","17.8","4/24/2023, 6:00:00 PM","18:00"
"12.6","41","44","16.1","4/24/2023, 7:00:00 PM","19:00"
"11.1","35","54","14.1","4/24/2023, 8:00:00 PM","20:00"
"9.6","36","55","13","4/24/2023, 9:00:00 PM","21:00"
"9.2","38","61","12.1","4/24/2023, 10:00:00 PM","22:00"
"9.2","39","68","11.4","4/24/2023, 11:00:00 PM","23:00"
"9.5","56","71","11.7","4/25/2023, 12:00:00 AM","00:00"
"9.2","73","89","11.3","4/25/2023, 1:00:00 AM","01:00"
"9.3","90","91","11.3","4/25/2023, 2:00:00 AM","02:00"
"8.6","86","91","11","4/25/2023, 3:00:00 AM","03:00"
"7.8","81","89","10.5","4/25/2023, 4:00:00 AM","04:00"
"7.3","77","90","10.2","4/25/2023, 5:00:00 AM","05:00"
"7","80","86","10.1","4/25/2023, 6:00:00 AM","06:00"
"6.9","84","87","9.9","4/25/2023, 7:00:00 AM","07:00"
"6.5","87","85","9.9","4/25/2023, 8:00:00 AM","08:00"
"6.6","76","87","9.9","4/25/2023, 9:00:00 AM","09:00"
"6.5","66","83","9.7","4/25/2023, 10:00:00 AM","10:00"
"6.4","55","76","9.8","4/25/2023, 11:00:00 AM","11:00"
