"feelsLike","rain","humidity","temperature","time2","date"
"5.5","0","53","9","4/29/2023, 12:00:00 AM","00:00"
"5.3","0","53","8.8","4/29/2023, 1:00:00 AM","01:00"
"5.3","0","58","8.3","4/29/2023, 2:00:00 AM","02:00"
"5.1","1","60","8.1","4/29/2023, 3:00:00 AM","03:00"
"4.5","2","63","7.5","4/29/2023, 4:00:00 AM","04:00"
"3.9","3","70","6.6","4/29/2023, 5:00:00 AM","05:00"
"3.7","3","74","6.3","4/29/2023, 6:00:00 AM","06:00"
"5.5","3","71","8","4/29/2023, 7:00:00 AM","07:00"
"7.5","3","62","10.2","4/29/2023, 8:00:00 AM","08:00"
"8.5","3","59","11.6","4/29/2023, 9:00:00 AM","09:00"
"9.7","3","59","12.8","4/29/2023, 10:00:00 AM","10:00"
"11.5","3","55","14.3","4/29/2023, 11:00:00 AM","11:00"
"12.9","13","50","15.3","4/29/2023, 12:00:00 PM","12:00"
"13.1","22","52","15.3","4/29/2023, 1:00:00 PM","13:00"
"12.9","32","52","15.3","4/29/2023, 2:00:00 PM","14:00"
"13.1","28","56","15.1","4/29/2023, 3:00:00 PM","15:00"
"13.4","23","56","15.1","4/29/2023, 4:00:00 PM","16:00"
"13.9","19","58","15.2","4/29/2023, 5:00:00 PM","17:00"
"13.9","15","65","14.7","4/29/2023, 6:00:00 PM","18:00"
"13.6","10","69","14.3","4/29/2023, 7:00:00 PM","19:00"
"11.8","6","78","12.5","4/29/2023, 8:00:00 PM","20:00"
"11.1","8","82","11.7","4/29/2023, 9:00:00 PM","21:00"
"10.5","11","81","11.3","4/29/2023, 10:00:00 PM","22:00"
"9","13","84","10.4","4/29/2023, 11:00:00 PM","23:00"
"9.1","19","89","10","4/30/2023, 12:00:00 AM","00:00"
"9.3","26","91","10","4/30/2023, 1:00:00 AM","01:00"
"8.9","32","92","9.8","4/30/2023, 2:00:00 AM","02:00"
"8.9","49","93","9.8","4/30/2023, 3:00:00 AM","03:00"
"8.6","67","94","10","4/30/2023, 4:00:00 AM","04:00"
"8.5","84","97","10","4/30/2023, 5:00:00 AM","05:00"
"8.3","76","94","10","4/30/2023, 6:00:00 AM","06:00"
"8.2","69","93","10","4/30/2023, 7:00:00 AM","07:00"
"7.6","61","93","10.2","4/30/2023, 8:00:00 AM","08:00"
"6.8","54","87","10.1","4/30/2023, 9:00:00 AM","09:00"
