"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"-1.7","0","84","1.2","2023-04-27 00:00","2023-04-27","4/27/2023 12:00 AM"
"-2.1","0","86","0.8","2023-04-27 01:00","2023-04-27","4/27/2023 1:00 AM"
"-2.5","0","87","0.5","2023-04-27 02:00","2023-04-27","4/27/2023 2:00 AM"
"-2.8","0","88","0.3","2023-04-27 03:00","2023-04-27","4/27/2023 3:00 AM"
"-2.8","0","89","0.3","2023-04-27 04:00","2023-04-27","4/27/2023 4:00 AM"
"-2.2","0","88","0.8","2023-04-27 05:00","2023-04-27","4/27/2023 5:00 AM"
"-0.3","0","82","2.9","2023-04-27 06:00","2023-04-27","4/27/2023 6:00 AM"
"1.5","0","76","4.7","2023-04-27 07:00","2023-04-27","4/27/2023 7:00 AM"
"3.7","86","70","6.4","2023-04-27 08:00","2023-04-27","4/27/2023 8:00 AM"
"5.4","75","63","7.8","2023-04-27 09:00","2023-04-27","4/27/2023 9:00 AM"
"7","62","55","9","2023-04-27 10:00","2023-04-27","4/27/2023 10:00 AM"
"7.2","70","53","9.3","2023-04-27 11:00","2023-04-27","4/27/2023 11:00 AM"
"7.1","82","54","9.1","2023-04-27 12:00","2023-04-27","4/27/2023 12:00 PM"
"8.7","70","50","10.3","2023-04-27 13:00","2023-04-27","4/27/2023 1:00 PM"
"8.3","0","52","9.9","2023-04-27 14:00","2023-04-27","4/27/2023 2:00 PM"
"9.1","0","51","10.4","2023-04-27 15:00","2023-04-27","4/27/2023 3:00 PM"
"8.6","78","53","10.2","2023-04-27 16:00","2023-04-27","4/27/2023 4:00 PM"
"8.7","0","61","9.8","2023-04-27 17:00","2023-04-27","4/27/2023 5:00 PM"
"8.5","0","67","8.5","2023-04-27 18:00","2023-04-27","4/27/2023 6:00 PM"
"6.5","0","68","6.5","2023-04-27 19:00","2023-04-27","4/27/2023 7:00 PM"
"4","0","69","5.2","2023-04-27 20:00","2023-04-27","4/27/2023 8:00 PM"
"3","0","73","4.3","2023-04-27 21:00","2023-04-27","4/27/2023 9:00 PM"
"2.8","0","77","3.6","2023-04-27 22:00","2023-04-27","4/27/2023 10:00 PM"
"1.9","0","80","3.1","2023-04-27 23:00","2023-04-27","4/27/2023 11:00 PM"
"1.3","0","81","2.6","2023-04-28 00:00","2023-04-28","4/28/2023 12:00 AM"
"1","0","82","2.3","2023-04-28 01:00","2023-04-28","4/28/2023 1:00 AM"
"0.7","0","83","2","2023-04-28 02:00","2023-04-28","4/28/2023 2:00 AM"
"0.2","0","84","1.7","2023-04-28 03:00","2023-04-28","4/28/2023 3:00 AM"
"-0.1","0","83","1.7","2023-04-28 04:00","2023-04-28","4/28/2023 4:00 AM"
"0.1","0","82","2.1","2023-04-28 05:00","2023-04-28","4/28/2023 5:00 AM"
"2.8","0","76","4.1","2023-04-28 06:00","2023-04-28","4/28/2023 6:00 AM"
"5.3","0","68","6.4","2023-04-28 07:00","2023-04-28","4/28/2023 7:00 AM"
"7.3","0","62","8.4","2023-04-28 08:00","2023-04-28","4/28/2023 8:00 AM"
"9.3","0","56","10.2","2023-04-28 09:00","2023-04-28","4/28/2023 9:00 AM"
"10.9","0","50","11.5","2023-04-28 10:00","2023-04-28","4/28/2023 10:00 AM"
"14.2","0","47","13.7","2023-04-28 11:00","2023-04-28","4/28/2023 11:00 AM"
"14.9","0","45","14.9","2023-04-28 12:00","2023-04-28","4/28/2023 12:00 PM"
"15.2","0","44","15.2","2023-04-28 13:00","2023-04-28","4/28/2023 1:00 PM"
"15.5","0","43","15.5","2023-04-28 14:00","2023-04-28","4/28/2023 2:00 PM"
"15.6","0","43","15.6","2023-04-28 15:00","2023-04-28","4/28/2023 3:00 PM"
"15.2","0","46","15.2","2023-04-28 16:00","2023-04-28","4/28/2023 4:00 PM"
"13","0","60","13.8","2023-04-28 17:00","2023-04-28","4/28/2023 5:00 PM"
"10.2","0","67","11.4","2023-04-28 18:00","2023-04-28","4/28/2023 6:00 PM"
"7.1","0","70","9.1","2023-04-28 19:00","2023-04-28","4/28/2023 7:00 PM"
"5.6","0","75","8","2023-04-28 20:00","2023-04-28","4/28/2023 8:00 PM"
"5.7","0","76","8","2023-04-28 21:00","2023-04-28","4/28/2023 9:00 PM"
"5.4","0","78","7.5","2023-04-28 22:00","2023-04-28","4/28/2023 10:00 PM"
"4.8","0","81","6.9","2023-04-28 23:00","2023-04-28","4/28/2023 11:00 PM"
"4.6","0","82","6.7","2023-04-29 00:00","2023-04-29","4/29/2023 12:00 AM"
"4.7","0","81","6.9","2023-04-29 01:00","2023-04-29","4/29/2023 1:00 AM"
"5.5","0","79","7.4","2023-04-29 02:00","2023-04-29","4/29/2023 2:00 AM"
"5.9","0","78","7.6","2023-04-29 03:00","2023-04-29","4/29/2023 3:00 AM"
"5.9","83","81","7.7","2023-04-29 04:00","2023-04-29","4/29/2023 4:00 AM"
"5.7","0","88","7.7","2023-04-29 05:00","2023-04-29","4/29/2023 5:00 AM"
"6.2","80","90","8.5","2023-04-29 06:00","2023-04-29","4/29/2023 6:00 AM"
"6","0","90","8.6","2023-04-29 07:00","2023-04-29","4/29/2023 7:00 AM"
"5.7","71","90","8.4","2023-04-29 08:00","2023-04-29","4/29/2023 8:00 AM"
"5.7","85","90","8.4","2023-04-29 09:00","2023-04-29","4/29/2023 9:00 AM"
"5.9","64","90","8.6","2023-04-29 10:00","2023-04-29","4/29/2023 10:00 AM"
"6.8","73","89","9","2023-04-29 11:00","2023-04-29","4/29/2023 11:00 AM"
"7.8","78","89","9.6","2023-04-29 12:00","2023-04-29","4/29/2023 12:00 PM"
"10.2","85","83","11.4","2023-04-29 13:00","2023-04-29","4/29/2023 1:00 PM"
"12.8","72","76","13.7","2023-04-29 14:00","2023-04-29","4/29/2023 2:00 PM"
"12.4","73","79","13.6","2023-04-29 15:00","2023-04-29","4/29/2023 3:00 PM"
"10.4","87","85","11.9","2023-04-29 16:00","2023-04-29","4/29/2023 4:00 PM"
"10.1","61","92","11.1","2023-04-29 17:00","2023-04-29","4/29/2023 5:00 PM"
"8.8","74","95","10.5","2023-04-29 18:00","2023-04-29","4/29/2023 6:00 PM"
"8.5","60","96","10.1","2023-04-29 19:00","2023-04-29","4/29/2023 7:00 PM"
"8","64","96","9.7","2023-04-29 20:00","2023-04-29","4/29/2023 8:00 PM"
"7.3","69","93","9.3","2023-04-29 21:00","2023-04-29","4/29/2023 9:00 PM"
"6.3","75","93","8.5","2023-04-29 22:00","2023-04-29","4/29/2023 10:00 PM"
"6.8","87","94","8.7","2023-04-29 23:00","2023-04-29","4/29/2023 11:00 PM"
