"feelsLike","rain","humidity","temperature","time","date"
"7.5","0","75","8.8","2023-04-22 20:00","2023-04-22"
"7.2","0","75","8.4","2023-04-22 21:00","2023-04-22"
"6.6","0","77","7.9","2023-04-22 22:00","2023-04-22"
"6","0","79","7.4","2023-04-22 23:00","2023-04-22"
"5.2","0","82","6.7","2023-04-23 00:00","2023-04-23"
"4.8","0","84","6.4","2023-04-23 01:00","2023-04-23"
"4.3","0","85","6","2023-04-23 02:00","2023-04-23"
"3.9","0","86","5.8","2023-04-23 03:00","2023-04-23"
"3.6","0","87","5.6","2023-04-23 04:00","2023-04-23"
"3.5","0","87","5.6","2023-04-23 05:00","2023-04-23"
"5.8","0","83","7.4","2023-04-23 06:00","2023-04-23"
"8.4","0","73","10","2023-04-23 07:00","2023-04-23"
"10.4","0","66","11.9","2023-04-23 08:00","2023-04-23"
"12.2","0","60","13.5","2023-04-23 09:00","2023-04-23"
"13.7","0","56","14.7","2023-04-23 10:00","2023-04-23"
"15.7","0","52","15.7","2023-04-23 11:00","2023-04-23"
"16.7","0","48","16.7","2023-04-23 12:00","2023-04-23"
"17.1","0","45","17.1","2023-04-23 13:00","2023-04-23"
"17.4","0","43","17.4","2023-04-23 14:00","2023-04-23"
"17.6","0","43","17.6","2023-04-23 15:00","2023-04-23"
"17.6","0","45","17.6","2023-04-23 16:00","2023-04-23"
"16","0","59","16","2023-04-23 17:00","2023-04-23"
"12.4","0","69","13.4","2023-04-23 18:00","2023-04-23"
"11.4","0","66","12.8","2023-04-23 19:00","2023-04-23"
"10.9","0","68","12","2023-04-23 20:00","2023-04-23"
"10.8","0","68","11.9","2023-04-23 21:00","2023-04-23"
"10.5","0","69","11.5","2023-04-23 22:00","2023-04-23"
"9.8","0","71","10.8","2023-04-23 23:00","2023-04-23"
"8.2","0","74","9.3","2023-04-24 00:00","2023-04-24"
"7.6","0","75","8.6","2023-04-24 01:00","2023-04-24"
"6.9","0","76","8","2023-04-24 02:00","2023-04-24"
"6.2","0","77","7.5","2023-04-24 03:00","2023-04-24"
"5.5","0","79","6.9","2023-04-24 04:00","2023-04-24"
"7.1","0","76","8.3","2023-04-24 05:00","2023-04-24"
"8.7","0","73","9.6","2023-04-24 06:00","2023-04-24"
"10.3","0","70","11","2023-04-24 07:00","2023-04-24"
"12.3","24","66","12.7","2023-04-24 08:00","2023-04-24"
"14.2","48","61","14.5","2023-04-24 09:00","2023-04-24"
"16.2","72","57","16.2","2023-04-24 10:00","2023-04-24"
"16.9","48","53","16.9","2023-04-24 11:00","2023-04-24"
"17.6","24","48","17.6","2023-04-24 12:00","2023-04-24"
"18.3","0","44","18.3","2023-04-24 13:00","2023-04-24"
"17.3","29","52","17.3","2023-04-24 14:00","2023-04-24"
"16.2","58","59","16.2","2023-04-24 15:00","2023-04-24"
"15.2","87","66","15.2","2023-04-24 16:00","2023-04-24"
"13","86","73","13.8","2023-04-24 17:00","2023-04-24"
"10.8","84","80","12.5","2023-04-24 18:00","2023-04-24"
"8.6","83","87","11.1","2023-04-24 19:00","2023-04-24"
"7.7","82","90","10.3","2023-04-24 20:00","2023-04-24"
"6.7","82","92","9.6","2023-04-24 21:00","2023-04-24"
"5.8","81","95","8.8","2023-04-24 22:00","2023-04-24"
"6","82","94","8.7","2023-04-24 23:00","2023-04-24"
"6.1","83","94","8.5","2023-04-25 00:00","2023-04-25"
"6.3","84","93","8.4","2023-04-25 01:00","2023-04-25"
"6.8","84","91","8.5","2023-04-25 02:00","2023-04-25"
"7.4","85","90","8.6","2023-04-25 03:00","2023-04-25"
"7.9","85","88","8.7","2023-04-25 04:00","2023-04-25"
"8.7","86","83","9.5","2023-04-25 05:00","2023-04-25"
"9.4","87","78","10.2","2023-04-25 06:00","2023-04-25"
"10.2","88","73","11","2023-04-25 07:00","2023-04-25"
"11.2","59","68","12","2023-04-25 08:00","2023-04-25"
"12.3","29","63","13.1","2023-04-25 09:00","2023-04-25"
"13.3","0","58","14.1","2023-04-25 10:00","2023-04-25"
"14.3","0","55","14.9","2023-04-25 11:00","2023-04-25"
"15.4","0","52","15.6","2023-04-25 12:00","2023-04-25"
"16.4","0","48","16.4","2023-04-25 13:00","2023-04-25"
"15.7","24","55","15.9","2023-04-25 14:00","2023-04-25"
"14.9","49","61","15.4","2023-04-25 15:00","2023-04-25"
"14.2","73","68","14.9","2023-04-25 16:00","2023-04-25"
"13.3","69","69","14.3","2023-04-25 17:00","2023-04-25"
"12.3","66","70","13.6","2023-04-25 18:00","2023-04-25"
"11.4","62","71","13","2023-04-25 19:00","2023-04-25"
"10","61","76","12.1","2023-04-25 20:00","2023-04-25"
"8.7","61","82","11.1","2023-04-25 21:00","2023-04-25"
"7.3","60","88","10.2","2023-04-25 22:00","2023-04-25"
"3.7","62","91","7.6","2023-04-25 23:00","2023-04-25"
