"feelsLike","rain","humidity","temperature","time","date"
"7.3","70","88","8.7","2023-04-19 00:00","2023-04-19"
"7.1","66","89","8.5","2023-04-19 01:00","2023-04-19"
"6.7","70","89","8.4","2023-04-19 02:00","2023-04-19"
"6.2","60","92","8","2023-04-19 03:00","2023-04-19"
"7.5","67","93","8.1","2023-04-19 04:00","2023-04-19"
"7.6","74","94","8","2023-04-19 05:00","2023-04-19"
"7.1","71","95","8","2023-04-19 06:00","2023-04-19"
"6.5","63","96","8","2023-04-19 07:00","2023-04-19"
"5.7","70","95","7.8","2023-04-19 08:00","2023-04-19"
"5.5","65","94","7.7","2023-04-19 09:00","2023-04-19"
"6.9","87","91","8.5","2023-04-19 10:00","2023-04-19"
"7.3","81","88","8.8","2023-04-19 11:00","2023-04-19"
"7.3","68","87","8.9","2023-04-19 12:00","2023-04-19"
"7.4","80","88","8.9","2023-04-19 13:00","2023-04-19"
"7.7","85","88","8.9","2023-04-19 14:00","2023-04-19"
"8.2","0","88","9.2","2023-04-19 15:00","2023-04-19"
"8.5","74","87","9.6","2023-04-19 16:00","2023-04-19"
"8.1","0","91","9.1","2023-04-19 17:00","2023-04-19"
"7.8","84","94","8.7","2023-04-19 18:00","2023-04-19"
"7.5","73","95","8.5","2023-04-19 19:00","2023-04-19"
"7.8","60","95","8.1","2023-04-19 20:00","2023-04-19"
"7.9","0","94","7.9","2023-04-19 21:00","2023-04-19"
"7.5","80","94","7.5","2023-04-19 22:00","2023-04-19"
"6.4","0","94","6.4","2023-04-19 23:00","2023-04-19"
"6.3","0","94","6.3","2023-04-20 00:00","2023-04-20"
"6.6","0","93","6.6","2023-04-20 01:00","2023-04-20"
"6.2","0","94","6.8","2023-04-20 02:00","2023-04-20"
"6","0","95","6.7","2023-04-20 03:00","2023-04-20"
"6","0","96","6.7","2023-04-20 04:00","2023-04-20"
"5.4","0","96","6.3","2023-04-20 05:00","2023-04-20"
"6.2","0","95","6.9","2023-04-20 06:00","2023-04-20"
"6.2","0","95","7.1","2023-04-20 07:00","2023-04-20"
"6.8","0","92","8","2023-04-20 08:00","2023-04-20"
"8.3","0","88","9.6","2023-04-20 09:00","2023-04-20"
"10.6","0","79","11.6","2023-04-20 10:00","2023-04-20"
"11.8","0","71","12.8","2023-04-20 11:00","2023-04-20"
"12.6","0","67","13.8","2023-04-20 12:00","2023-04-20"
"13.9","0","57","14.7","2023-04-20 13:00","2023-04-20"
"15.4","0","51","15.4","2023-04-20 14:00","2023-04-20"
"12.9","0","62","13.9","2023-04-20 15:00","2023-04-20"
"13","86","63","14","2023-04-20 16:00","2023-04-20"
"12.9","0","67","13.7","2023-04-20 17:00","2023-04-20"
"11.2","0","71","12.2","2023-04-20 18:00","2023-04-20"
"10.2","0","71","11.4","2023-04-20 19:00","2023-04-20"
"9.4","0","72","10.6","2023-04-20 20:00","2023-04-20"
"8.1","0","73","9.3","2023-04-20 21:00","2023-04-20"
"6.5","0","76","8","2023-04-20 22:00","2023-04-20"
"5.8","0","79","7.3","2023-04-20 23:00","2023-04-20"
"5","0","83","6.5","2023-04-21 00:00","2023-04-21"
"4.8","0","86","6.2","2023-04-21 01:00","2023-04-21"
"4.7","0","89","5.9","2023-04-21 02:00","2023-04-21"
"4.4","0","91","5.5","2023-04-21 03:00","2023-04-21"
"4.2","0","92","5.1","2023-04-21 04:00","2023-04-21"
"4.5","0","93","5","2023-04-21 05:00","2023-04-21"
"6.1","0","89","6.7","2023-04-21 06:00","2023-04-21"
"7.5","0","80","8.8","2023-04-21 07:00","2023-04-21"
"9.2","0","72","10.5","2023-04-21 08:00","2023-04-21"
"10.9","0","65","12.1","2023-04-21 09:00","2023-04-21"
"12.1","0","58","13.3","2023-04-21 10:00","2023-04-21"
"13.1","0","53","14.1","2023-04-21 11:00","2023-04-21"
"14","0","49","14.8","2023-04-21 12:00","2023-04-21"
"15.1","0","47","15.1","2023-04-21 13:00","2023-04-21"
"15.7","0","46","15.7","2023-04-21 14:00","2023-04-21"
"13.8","0","51","14.7","2023-04-21 15:00","2023-04-21"
"13.9","0","53","14.7","2023-04-21 16:00","2023-04-21"
"13","0","60","13.8","2023-04-21 17:00","2023-04-21"
"11.4","0","65","12.3","2023-04-21 18:00","2023-04-21"
"10.7","0","64","11.6","2023-04-21 19:00","2023-04-21"
"10","0","64","10.9","2023-04-21 20:00","2023-04-21"
"9.9","0","65","10.6","2023-04-21 21:00","2023-04-21"
"9.8","0","66","10.3","2023-04-21 22:00","2023-04-21"
"9.8","0","66","10.1","2023-04-21 23:00","2023-04-21"
"9.2","0","67","9.6","2023-04-22 00:00","2023-04-22"
"8.9","0","69","9.3","2023-04-22 01:00","2023-04-22"
"8.6","0","69","9","2023-04-22 02:00","2023-04-22"
"8.6","0","70","8.8","2023-04-22 03:00","2023-04-22"
"8.7","0","71","8.7","2023-04-22 04:00","2023-04-22"
"8","0","73","8.5","2023-04-22 05:00","2023-04-22"
"8.3","0","76","8.8","2023-04-22 06:00","2023-04-22"
"9.6","0","74","9.8","2023-04-22 07:00","2023-04-22"
"10.5","0","71","10.6","2023-04-22 08:00","2023-04-22"
"11","0","69","11.3","2023-04-22 09:00","2023-04-22"
"11.9","72","64","12.4","2023-04-22 10:00","2023-04-22"
"13.7","0","56","14.1","2023-04-22 11:00","2023-04-22"
"15.1","0","51","15.1","2023-04-22 12:00","2023-04-22"
"14.2","78","52","14.8","2023-04-22 13:00","2023-04-22"
"13.7","62","55","14.4","2023-04-22 14:00","2023-04-22"
"14.3","0","55","14.7","2023-04-22 15:00","2023-04-22"
"14.2","66","57","14.6","2023-04-22 16:00","2023-04-22"
"13.1","0","64","13.8","2023-04-22 17:00","2023-04-22"
"11","0","72","11.9","2023-04-22 18:00","2023-04-22"
"9","60","74","10.1","2023-04-22 19:00","2023-04-22"
