"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"7.5","0","68","9.3","2023-04-23 00:00","2023-04-23","4/23/2023 12:00 AM"
"7.3","0","68","9","2023-04-23 01:00","2023-04-23","4/23/2023 1:00 AM"
"7.2","0","69","8.7","2023-04-23 02:00","2023-04-23","4/23/2023 2:00 AM"
"7","0","71","8.1","2023-04-23 03:00","2023-04-23","4/23/2023 3:00 AM"
"6.1","0","73","7.5","2023-04-23 04:00","2023-04-23","4/23/2023 4:00 AM"
"6.2","0","74","7.6","2023-04-23 05:00","2023-04-23","4/23/2023 5:00 AM"
"8.7","0","73","9.5","2023-04-23 06:00","2023-04-23","4/23/2023 6:00 AM"
"11.5","0","66","12","2023-04-23 07:00","2023-04-23","4/23/2023 7:00 AM"
"13.7","0","61","13.9","2023-04-23 08:00","2023-04-23","4/23/2023 8:00 AM"
"15.7","0","57","15.7","2023-04-23 09:00","2023-04-23","4/23/2023 9:00 AM"
"17.6","0","52","17.6","2023-04-23 10:00","2023-04-23","4/23/2023 10:00 AM"
"19.4","0","49","19.4","2023-04-23 11:00","2023-04-23","4/23/2023 11:00 AM"
"20.2","0","45","20.2","2023-04-23 12:00","2023-04-23","4/23/2023 12:00 PM"
"20.2","0","41","20.2","2023-04-23 13:00","2023-04-23","4/23/2023 1:00 PM"
"20.5","0","40","20.5","2023-04-23 14:00","2023-04-23","4/23/2023 2:00 PM"
"19.9","0","43","19.9","2023-04-23 15:00","2023-04-23","4/23/2023 3:00 PM"
"19","0","51","19","2023-04-23 16:00","2023-04-23","4/23/2023 4:00 PM"
"18.5","0","58","18.5","2023-04-23 17:00","2023-04-23","4/23/2023 5:00 PM"
"15.5","0","67","15.5","2023-04-23 18:00","2023-04-23","4/23/2023 6:00 PM"
"13.2","0","66","14.1","2023-04-23 19:00","2023-04-23","4/23/2023 7:00 PM"
"12.5","0","65","13.6","2023-04-23 20:00","2023-04-23","4/23/2023 8:00 PM"
"11.3","0","66","12.6","2023-04-23 21:00","2023-04-23","4/23/2023 9:00 PM"
"11","0","65","12.1","2023-04-23 22:00","2023-04-23","4/23/2023 10:00 PM"
"10.9","0","66","11.8","2023-04-23 23:00","2023-04-23","4/23/2023 11:00 PM"
"10.7","0","68","11.4","2023-04-24 00:00","2023-04-24","4/24/2023 12:00 AM"
"10.5","0","68","11.1","2023-04-24 01:00","2023-04-24","4/24/2023 1:00 AM"
"10","0","69","10.7","2023-04-24 02:00","2023-04-24","4/24/2023 2:00 AM"
"10.6","0","68","11.3","2023-04-24 03:00","2023-04-24","4/24/2023 3:00 AM"
"10.4","80","66","11.4","2023-04-24 04:00","2023-04-24","4/24/2023 4:00 AM"
"9.8","0","70","11","2023-04-24 05:00","2023-04-24","4/24/2023 5:00 AM"
"10.1","0","72","11.3","2023-04-24 06:00","2023-04-24","4/24/2023 6:00 AM"
"11.8","0","67","13.1","2023-04-24 07:00","2023-04-24","4/24/2023 7:00 AM"
"15.4","0","59","15.4","2023-04-24 08:00","2023-04-24","4/24/2023 8:00 AM"
"17.1","0","51","17.1","2023-04-24 09:00","2023-04-24","4/24/2023 9:00 AM"
"18.1","0","48","18.1","2023-04-24 10:00","2023-04-24","4/24/2023 10:00 AM"
"19.3","0","47","19.3","2023-04-24 11:00","2023-04-24","4/24/2023 11:00 AM"
"20.2","0","45","20.2","2023-04-24 12:00","2023-04-24","4/24/2023 12:00 PM"
"19.7","0","49","19.7","2023-04-24 13:00","2023-04-24","4/24/2023 1:00 PM"
"18.4","0","57","18.4","2023-04-24 14:00","2023-04-24","4/24/2023 2:00 PM"
"17.7","0","59","17.7","2023-04-24 15:00","2023-04-24","4/24/2023 3:00 PM"
"16.5","81","67","16.5","2023-04-24 16:00","2023-04-24","4/24/2023 4:00 PM"
"12.8","0","81","13.7","2023-04-24 17:00","2023-04-24","4/24/2023 5:00 PM"
"12.9","63","86","13.1","2023-04-24 18:00","2023-04-24","4/24/2023 6:00 PM"
"12.1","68","87","12.6","2023-04-24 19:00","2023-04-24","4/24/2023 7:00 PM"
"11.3","63","90","11.8","2023-04-24 20:00","2023-04-24","4/24/2023 8:00 PM"
"10.7","81","92","11.4","2023-04-24 21:00","2023-04-24","4/24/2023 9:00 PM"
"10.6","67","94","11.1","2023-04-24 22:00","2023-04-24","4/24/2023 10:00 PM"
"10.9","65","95","10.9","2023-04-24 23:00","2023-04-24","4/24/2023 11:00 PM"
"10.7","71","95","10.6","2023-04-25 00:00","2023-04-25","4/25/2023 12:00 AM"
"10.7","66","96","10.6","2023-04-25 01:00","2023-04-25","4/25/2023 1:00 AM"
"10.4","88","96","10.5","2023-04-25 02:00","2023-04-25","4/25/2023 2:00 AM"
"9.4","88","97","10.4","2023-04-25 03:00","2023-04-25","4/25/2023 3:00 AM"
"7.3","62","96","10.1","2023-04-25 04:00","2023-04-25","4/25/2023 4:00 AM"
"6.6","74","94","9.3","2023-04-25 05:00","2023-04-25","4/25/2023 5:00 AM"
"7.4","70","92","9.3","2023-04-25 06:00","2023-04-25","4/25/2023 6:00 AM"
"7.9","86","90","9.9","2023-04-25 07:00","2023-04-25","4/25/2023 7:00 AM"
"8.2","72","84","10.5","2023-04-25 08:00","2023-04-25","4/25/2023 8:00 AM"
"7.8","0","80","10.3","2023-04-25 09:00","2023-04-25","4/25/2023 9:00 AM"
"8.5","63","80","10.2","2023-04-25 10:00","2023-04-25","4/25/2023 10:00 AM"
