"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"7.1","0","96","7","2023-04-20 00:00","2023-04-20","4/20/2023 12:00 AM"
"6.7","0","96","6.8","2023-04-20 01:00","2023-04-20","4/20/2023 1:00 AM"
"6.6","0","97","6.7","2023-04-20 02:00","2023-04-20","4/20/2023 2:00 AM"
"6.5","0","97","6.6","2023-04-20 03:00","2023-04-20","4/20/2023 3:00 AM"
"6.3","0","97","6.3","2023-04-20 04:00","2023-04-20","4/20/2023 4:00 AM"
"5.6","0","97","5.8","2023-04-20 05:00","2023-04-20","4/20/2023 5:00 AM"
"6.7","0","95","6.9","2023-04-20 06:00","2023-04-20","4/20/2023 6:00 AM"
"7.6","0","88","8.4","2023-04-20 07:00","2023-04-20","4/20/2023 7:00 AM"
"8.9","0","80","10","2023-04-20 08:00","2023-04-20","4/20/2023 8:00 AM"
"10.2","0","75","11.5","2023-04-20 09:00","2023-04-20","4/20/2023 9:00 AM"
"10.9","0","73","12.1","2023-04-20 10:00","2023-04-20","4/20/2023 10:00 AM"
"11.6","0","72","12.6","2023-04-20 11:00","2023-04-20","4/20/2023 11:00 AM"
"12.9","0","64","14","2023-04-20 12:00","2023-04-20","4/20/2023 12:00 PM"
"13.9","75","60","14.8","2023-04-20 13:00","2023-04-20","4/20/2023 1:00 PM"
"15.8","85","57","15.8","2023-04-20 14:00","2023-04-20","4/20/2023 2:00 PM"
"16","66","55","16","2023-04-20 15:00","2023-04-20","4/20/2023 3:00 PM"
"15.6","61","58","15.6","2023-04-20 16:00","2023-04-20","4/20/2023 4:00 PM"
"13.2","0","63","14.1","2023-04-20 17:00","2023-04-20","4/20/2023 5:00 PM"
"10.9","73","72","12","2023-04-20 18:00","2023-04-20","4/20/2023 6:00 PM"
"8.7","0","74","10","2023-04-20 19:00","2023-04-20","4/20/2023 7:00 PM"
"7.7","0","77","8.7","2023-04-20 20:00","2023-04-20","4/20/2023 8:00 PM"
"8","0","75","8.6","2023-04-20 21:00","2023-04-20","4/20/2023 9:00 PM"
