"feelsLike","rain","humidity","temperature","time","datetime","datetimeWithTime"
"10.9","0","57.78","10.9","12:00 AM","4/21/2023","4/21/2023 12:00 AM"
"8.9","0","70.88","8.9","1:00 AM","4/21/2023","4/21/2023 1:00 AM"
"6.3","0","81.35","7.9","2:00 AM","4/21/2023","4/21/2023 2:00 AM"
"7.5","0","70.88","8.9","3:00 AM","4/21/2023","4/21/2023 3:00 AM"
"5.7","0","70.69","7.9","4:00 AM","4/21/2023","4/21/2023 4:00 AM"
"7.9","0","70.69","7.9","5:00 AM","4/21/2023","4/21/2023 5:00 AM"
"2.4","0","86.9","4.9","6:00 AM","4/21/2023","4/21/2023 6:00 AM"
"7.9","0","75.85","7.9","7:00 AM","4/21/2023","4/21/2023 7:00 AM"
"10.9","0","57.78","10.9","8:00 AM","4/21/2023","4/21/2023 8:00 AM"
"12.9","0","54.35","12.9","9:00 AM","4/21/2023","4/21/2023 9:00 AM"
"14.9","0","44.49","14.9","10:00 AM","4/21/2023","4/21/2023 10:00 AM"
"15.9","0","31.29","15.9","11:00 AM","4/21/2023","4/21/2023 11:00 AM"
"16.9","0","31.58","16.9","12:00 PM","4/21/2023","4/21/2023 12:00 PM"
"17.9","0","29.65","17.9","1:00 PM","4/21/2023","4/21/2023 1:00 PM"
"17.9","0","29.65","17.9","2:00 PM","4/21/2023","4/21/2023 2:00 PM"
"17.9","0","29.65","17.9","3:00 PM","4/21/2023","4/21/2023 3:00 PM"
"17.9","0","27.56","17.9","4:00 PM","4/21/2023","4/21/2023 4:00 PM"
"17.9","0","29.65","17.9","5:00 PM","4/21/2023","4/21/2023 5:00 PM"
"16.9","0","31.58","16.9","6:00 PM","4/21/2023","4/21/2023 6:00 PM"
"15.9","0","33.65","15.9","7:00 PM","4/21/2023","4/21/2023 7:00 PM"
"11.9","0","54.86","11.9","8:00 PM","4/21/2023","4/21/2023 8:00 PM"
"10.9","0","56.17","10.9","9:00 PM","4/21/2023","4/21/2023 9:00 PM"
"10.2","0","57.58","10.2","10:00 PM","4/21/2023","4/21/2023 10:00 PM"
"9.4","0","59.49","9.4","11:00 PM","4/21/2023","4/21/2023 11:00 PM"
"8.6","0","63.21","8.6","12:00 AM","4/22/2023","4/22/2023 12:00 AM"
"7.1","0","71.52","7.1","1:00 AM","4/22/2023","4/22/2023 1:00 AM"
"5.9","0","77.14","5.9","2:00 AM","4/22/2023","4/22/2023 2:00 AM"
"5.3","0","79.85","5.3","3:00 AM","4/22/2023","4/22/2023 3:00 AM"
"4.9","0","81.51","4.9","4:00 AM","4/22/2023","4/22/2023 4:00 AM"
"4.7","0","82.66","4.7","5:00 AM","4/22/2023","4/22/2023 5:00 AM"
"4.7","0","83.83","4.7","6:00 AM","4/22/2023","4/22/2023 6:00 AM"
"5.3","0","84.51","5.3","7:00 AM","4/22/2023","4/22/2023 7:00 AM"
"7.7","0","83.6","7.7","8:00 AM","4/22/2023","4/22/2023 8:00 AM"
"10.7","0","68.31","10.7","9:00 AM","4/22/2023","4/22/2023 9:00 AM"
"12.7","0","63.27","12.7","10:00 AM","4/22/2023","4/22/2023 10:00 AM"
"14.6","0","56.31","14.6","11:00 AM","4/22/2023","4/22/2023 11:00 AM"
"15.9","0","48.02","15.9","12:00 PM","4/22/2023","4/22/2023 12:00 PM"
"16.6","0","41.6","16.6","1:00 PM","4/22/2023","4/22/2023 1:00 PM"
"16.8","0","42.28","16.8","2:00 PM","4/22/2023","4/22/2023 2:00 PM"
"17.1","0","42.04","17.1","3:00 PM","4/22/2023","4/22/2023 3:00 PM"
"16.9","0","42.91","16.9","4:00 PM","4/22/2023","4/22/2023 4:00 PM"
"16.7","0","44.07","16.7","5:00 PM","4/22/2023","4/22/2023 5:00 PM"
"16.3","0","43.04","16.3","6:00 PM","4/22/2023","4/22/2023 6:00 PM"
"14.6","0","55.53","14.6","7:00 PM","4/22/2023","4/22/2023 7:00 PM"
"12.3","0","61.02","12.3","8:00 PM","4/22/2023","4/22/2023 8:00 PM"
"10.6","0","65.49","10.6","9:00 PM","4/22/2023","4/22/2023 9:00 PM"
"8.9","0","71.89","8.9","10:00 PM","4/22/2023","4/22/2023 10:00 PM"
"7.2","0","75.3","7.8","11:00 PM","4/22/2023","4/22/2023 11:00 PM"
"6.4","0","75.75","7.3","12:00 AM","4/23/2023","4/23/2023 12:00 AM"
"6.2","0","75.72","7.2","1:00 AM","4/23/2023","4/23/2023 1:00 AM"
"5.6","0","77.8","6.7","2:00 AM","4/23/2023","4/23/2023 2:00 AM"
"4.9","0","79.95","6.1","3:00 AM","4/23/2023","4/23/2023 3:00 AM"
"4.2","0","81.02","5.6","4:00 AM","4/23/2023","4/23/2023 4:00 AM"
"4.0","0","81.56","5.2","5:00 AM","4/23/2023","4/23/2023 5:00 AM"
"3.9","0","82.12","5.2","6:00 AM","4/23/2023","4/23/2023 6:00 AM"
"5.6","0","81.16","6.6","7:00 AM","4/23/2023","4/23/2023 7:00 AM"
"9.7","0","76.18","9.9","8:00 AM","4/23/2023","4/23/2023 8:00 AM"
"12.9","0","63.78","12.9","9:00 AM","4/23/2023","4/23/2023 9:00 AM"
"14.9","0","62.08","14.9","10:00 AM","4/23/2023","4/23/2023 10:00 AM"
"16.7","0","59.62","16.7","11:00 AM","4/23/2023","4/23/2023 11:00 AM"
"18.1","0","52.03","18.1","12:00 PM","4/23/2023","4/23/2023 12:00 PM"
"18.9","0","43.78","18.9","1:00 PM","4/23/2023","4/23/2023 1:00 PM"
"19.4","0","41.85","19.4","2:00 PM","4/23/2023","4/23/2023 2:00 PM"
"19.6","0","41.59","19.6","3:00 PM","4/23/2023","4/23/2023 3:00 PM"
"19.7","0","40.21","19.7","4:00 PM","4/23/2023","4/23/2023 4:00 PM"
"18.3","0","48.68","18.3","5:00 PM","4/23/2023","4/23/2023 5:00 PM"
"17.3","0","53.64","17.3","6:00 PM","4/23/2023","4/23/2023 6:00 PM"
"15.9","0","57.44","15.9","7:00 PM","4/23/2023","4/23/2023 7:00 PM"
"14.4","0","61.13","14.4","8:00 PM","4/23/2023","4/23/2023 8:00 PM"
"13.7","0","63.07","13.7","9:00 PM","4/23/2023","4/23/2023 9:00 PM"
"12.9","0","65.11","12.9","10:00 PM","4/23/2023","4/23/2023 10:00 PM"
"12.3","0","65.86","12.3","11:00 PM","4/23/2023","4/23/2023 11:00 PM"
"12.1","0","64.46","12.1","12:00 AM","4/24/2023","4/24/2023 12:00 AM"
"11.3","0","66.58","11.3","1:00 AM","4/24/2023","4/24/2023 1:00 AM"
"10.8","0","67.41","10.8","2:00 AM","4/24/2023","4/24/2023 2:00 AM"
"10.3","0","68.25","10.3","3:00 AM","4/24/2023","4/24/2023 3:00 AM"
"9.1","0","68.64","9.9","4:00 AM","4/24/2023","4/24/2023 4:00 AM"
"8.8","0","68.12","9.7","5:00 AM","4/24/2023","4/24/2023 5:00 AM"
"8.6","0","68.58","9.7","6:00 AM","4/24/2023","4/24/2023 6:00 AM"
"10.9","0","66.49","10.9","7:00 AM","4/24/2023","4/24/2023 7:00 AM"
"12.9","0","61.19","12.9","8:00 AM","4/24/2023","4/24/2023 8:00 AM"
"14.3","23.8","62.37","14.3","9:00 AM","4/24/2023","4/24/2023 9:00 AM"
"16.1","23.8","57.07","16.1","10:00 AM","4/24/2023","4/24/2023 10:00 AM"
"17.4","23.8","51.16","17.4","11:00 AM","4/24/2023","4/24/2023 11:00 AM"
"18.1","23.8","49.94","18.1","12:00 PM","4/24/2023","4/24/2023 12:00 PM"
"18.1","23.8","50.29","18.1","1:00 PM","4/24/2023","4/24/2023 1:00 PM"
"18.3","23.8","49.01","18.3","2:00 PM","4/24/2023","4/24/2023 2:00 PM"
"18.2","61.9","48.97","18.2","3:00 PM","4/24/2023","4/24/2023 3:00 PM"
"18.0","61.9","48.92","18.0","4:00 PM","4/24/2023","4/24/2023 4:00 PM"
"17.8","61.9","48.88","17.8","5:00 PM","4/24/2023","4/24/2023 5:00 PM"
"16.5","61.9","52.2","16.5","6:00 PM","4/24/2023","4/24/2023 6:00 PM"
"15.1","61.9","55.81","15.1","7:00 PM","4/24/2023","4/24/2023 7:00 PM"
"13.7","61.9","59.71","13.7","8:00 PM","4/24/2023","4/24/2023 8:00 PM"
"13.1","52.4","62.5","13.1","9:00 PM","4/24/2023","4/24/2023 9:00 PM"
"12.4","52.4","65.44","12.4","10:00 PM","4/24/2023","4/24/2023 10:00 PM"
"11.7","52.4","68.54","11.7","11:00 PM","4/24/2023","4/24/2023 11:00 PM"
"11.5","52.4","69.44","11.5","12:00 AM","4/25/2023","4/25/2023 12:00 AM"
"11.3","52.4","70.36","11.3","1:00 AM","4/25/2023","4/25/2023 1:00 AM"
"11.1","52.4","71.29","11.1","2:00 AM","4/25/2023","4/25/2023 2:00 AM"
"10.7","52.4","77.19","10.7","3:00 AM","4/25/2023","4/25/2023 3:00 AM"
