"feelsLike","rain","humidity","temperature","time2","date"
"8.2","24","82","9.9","2023-04-19","00:00"
"7.9","31","79","9.5","2023-04-19","01:00"
"8","39","81","9.5","2023-04-19","02:00"
"7.5","53","87","9","2023-04-19","03:00"
"7.7","67","92","8.8","2023-04-19","04:00"
"7.1","81","94","8.4","2023-04-19","05:00"
"6.7","79","92","8.3","2023-04-19","06:00"
"6.5","76","92","8.2","2023-04-19","07:00"
"6.4","74","92","8.3","2023-04-19","08:00"
"6.9","79","87","9","2023-04-19","09:00"
"7.5","85","80","9.6","2023-04-19","10:00"
"7.2","90","83","9.4","2023-04-19","11:00"
"7.5","82","82","9.7","2023-04-19","12:00"
"7.8","73","80","10.1","2023-04-19","13:00"
"8.2","65","74","10.7","2023-04-19","14:00"
"8.2","57","72","10.9","2023-04-19","15:00"
"8.4","50","73","11","2023-04-19","16:00"
"8.7","42","72","11.2","2023-04-19","17:00"
"8.7","39","72","11","2023-04-19","18:00"
"8.4","35","77","10.4","2023-04-19","19:00"
"8.1","32","83","9.7","2023-04-19","20:00"
"8.1","22","87","9.3","2023-04-19","21:00"
"7.4","13","89","8.6","2023-04-19","22:00"
"6.6","3","89","7.9","2023-04-19","23:00"
"5.5","2","93","7","2023-04-20","00:00"
"4.8","1","96","6.4","2023-04-20","01:00"
"4.3","0","98","6","2023-04-20","02:00"
"4.4","1","98","6","2023-04-20","03:00"
"4","2","98","5.7","2023-04-20","04:00"
"3.7","3","98","5.3","2023-04-20","05:00"
"3.5","5","98","5.2","2023-04-20","06:00"
"4.6","8","96","5.9","2023-04-20","07:00"
"5.5","10","91","7.1","2023-04-20","08:00"
"6.7","15","87","8.2","2023-04-20","09:00"
"8.2","21","81","9.9","2023-04-20","10:00"
"9.2","26","79","10.9","2023-04-20","11:00"
"10.9","24","68","13","2023-04-20","12:00"
"12.6","21","56","14.8","2023-04-20","13:00"
"12","19","50","15.4","2023-04-20","14:00"
"12.4","21","43","16","2023-04-20","15:00"
"12.1","24","47","15.4","2023-04-20","16:00"
"11.6","26","46","15.3","2023-04-20","17:00"
"11.6","21","50","14.5","2023-04-20","18:00"
"10.9","15","56","13.2","2023-04-20","19:00"
"9.5","10","64","11.4","2023-04-20","20:00"
"8.6","7","66","10.5","2023-04-20","21:00"
"7.7","3","67","9.6","2023-04-20","22:00"
"7.4","0","65","9.3","2023-04-20","23:00"
"6.9","0","65","8.9","2023-04-21","00:00"
"6.5","0","68","8.4","2023-04-21","01:00"
"6","0","70","7.9","2023-04-21","02:00"
"5.2","0","72","7.3","2023-04-21","03:00"
"4.9","0","73","6.9","2023-04-21","04:00"
"4.3","0","76","6.3","2023-04-21","05:00"
"3.9","0","78","5.9","2023-04-21","06:00"
"4.4","0","77","6.3","2023-04-21","07:00"
"5.9","0","77","7.8","2023-04-21","08:00"
"7.6","4","70","9.6","2023-04-21","09:00"
"9.2","9","64","11.4","2023-04-21","10:00"
"11.5","13","59","13","2023-04-21","11:00"
"13.2","15","55","14.4","2023-04-21","12:00"
"13.3","17","46","15.3","2023-04-21","13:00"
"13.1","19","40","15.7","2023-04-21","14:00"
"12.6","16","40","15.6","2023-04-21","15:00"
"11.8","13","36","15.4","2023-04-21","16:00"
"11.5","10","41","14.9","2023-04-21","17:00"
"11.2","8","44","14.2","2023-04-21","18:00"
"10.6","5","52","12.9","2023-04-21","19:00"
"9.5","3","59","11.4","2023-04-21","20:00"
"8.8","2","61","10.7","2023-04-21","21:00"
"8.3","1","62","10.2","2023-04-21","22:00"
"8","0","63","9.8","2023-04-21","23:00"
"7.7","0","64","9.3","2023-04-22","00:00"
"7.1","0","65","8.9","2023-04-22","01:00"
"5.9","0","66","8.1","2023-04-22","02:00"
"4.5","0","73","6.8","2023-04-22","03:00"
"3.6","0","78","5.9","2023-04-22","04:00"
"3.5","0","80","5.7","2023-04-22","05:00"
"3.3","0","81","5.5","2023-04-22","06:00"
"4.1","0","82","6.1","2023-04-22","07:00"
"6.8","0","81","8.3","2023-04-22","08:00"
"9.3","1","66","10.9","2023-04-22","09:00"
"11.6","2","59","13","2023-04-22","10:00"
"13.8","3","53","14.5","2023-04-22","11:00"
"13.7","5","45","15.2","2023-04-22","12:00"
"14.1","8","43","15.9","2023-04-22","13:00"
"14.7","10","43","16.3","2023-04-22","14:00"
"14.5","8","43","16.3","2023-04-22","15:00"
"14.5","5","43","16.4","2023-04-22","16:00"
"14.1","3","44","16.2","2023-04-22","17:00"
"13.5","2","46","15.7","2023-04-22","18:00"
"12.4","1","59","14","2023-04-22","19:00"
"10.2","0","66","11.9","2023-04-22","20:00"
"9","0","70","10.9","2023-04-22","21:00"
"7.9","0","72","9.9","2023-04-22","22:00"
"6.9","0","74","9","2023-04-22","23:00"
"6.5","0","74","8.7","2023-04-23","00:00"
"6.4","0","73","8.7","2023-04-23","01:00"
"6.2","0","73","8.5","2023-04-23","02:00"
"5.6","0","75","8","2023-04-23","03:00"
"5","0","77","7.3","2023-04-23","04:00"
"4.7","0","79","7","2023-04-23","05:00"
"5.5","0","79","7.6","2023-04-23","06:00"
"6.8","0","79","8.7","2023-04-23","07:00"
"9","0","76","10.5","2023-04-23","08:00"
"11","0","70","12.5","2023-04-23","09:00"
"13.3","0","62","14.8","2023-04-23","10:00"
"16.3","0","53","17.3","2023-04-23","11:00"
"17.5","1","48","18.3","2023-04-23","12:00"
"17.8","2","44","18.9","2023-04-23","13:00"
"17.7","3","40","19.4","2023-04-23","14:00"
"17.8","4","39","19.6","2023-04-23","15:00"
"18.3","5","38","19.7","2023-04-23","16:00"
"18","6","40","19.3","2023-04-23","17:00"
"17","4","44","18.3","2023-04-23","18:00"
"14.9","2","50","16.8","2023-04-23","19:00"
"12.6","0","56","15.1","2023-04-23","20:00"
"11.9","0","57","14.4","2023-04-23","21:00"
"11.4","0","56","13.8","2023-04-23","22:00"
"10.9","0","57","13.1","2023-04-23","23:00"
"10.5","0","62","12.4","2023-04-24","00:00"
"10.2","0","69","11.7","2023-04-24","01:00"
"9.5","0","76","10.8","2023-04-24","02:00"
"8.8","0","77","10.3","2023-04-24","03:00"
"8.2","0","77","9.9","2023-04-24","04:00"
"7.9","0","76","9.7","2023-04-24","05:00"
"8.3","1","76","10","2023-04-24","06:00"
"9.2","2","77","10.7","2023-04-24","07:00"
"10.6","3","77","11.7","2023-04-24","08:00"
"12","11","75","12.7","2023-04-24","09:00"
"12.8","18","72","13.9","2023-04-24","10:00"
"13.3","26","70","14.9","2023-04-24","11:00"
"13","36","71","14.7","2023-04-24","12:00"
"12.3","45","73","14.1","2023-04-24","13:00"
"11.5","55","76","13.3","2023-04-24","14:00"
"12.5","53","79","13.3","2023-04-24","15:00"
"13","50","78","13.6","2023-04-24","16:00"
"12.5","48","78","13.7","2023-04-24","17:00"
"12.1","50","80","13.3","2023-04-24","18:00"
"11.9","53","83","12.7","2023-04-24","19:00"
"11.1","55","87","11.7","2023-04-24","20:00"
"10.1","46","89","10.8","2023-04-24","21:00"
"8.9","38","92","9.8","2023-04-24","22:00"
"7.3","29","94","8.6","2023-04-24","23:00"
"6.4","25","95","7.8","2023-04-25","00:00"
"5.5","20","96","7.1","2023-04-25","01:00"
"4.8","16","97","6.5","2023-04-25","02:00"
"4.3","20","97","6.1","2023-04-25","03:00"
"4","25","96","5.9","2023-04-25","04:00"
"4.2","29","93","6.3","2023-04-25","05:00"
"5.3","31","88","7.4","2023-04-25","06:00"
"7.1","33","82","9","2023-04-25","07:00"
"9.1","35","75","11.1","2023-04-25","08:00"
"10.3","42","73","12.4","2023-04-25","09:00"
"11.2","48","71","13.6","2023-04-25","10:00"
"12.2","55","70","14.8","2023-04-25","11:00"
"12.4","56","68","15.3","2023-04-25","12:00"
"12.4","57","67","15.4","2023-04-25","13:00"
"12.2","58","66","15.3","2023-04-25","14:00"
"12.4","60","67","15.3","2023-04-25","15:00"
"12.7","63","70","15.2","2023-04-25","16:00"
"12","65","73","14.1","2023-04-25","17:00"
"9.3","58","74","11.6","2023-04-25","18:00"
"4","52","75","8.2","2023-04-25","19:00"
"-1.6","45","77","4.7","2023-04-25","20:00"
"-2.5","47","79","4","2023-04-25","21:00"
"-1.6","50","81","4.2","2023-04-25","22:00"
"-0.5","52","82","4.6","2023-04-25","23:00"
