"feelsLike","rain","humidity","temperature","time","datetime","datetimeWithTime"
"4.5","0","52.73","6.9","12:00 AM","5/1/2023","5/1/2023 12:00 AM"
"3.9","0","56.49","5.9","1:00 AM","5/1/2023","5/1/2023 1:00 AM"
"-0.1","0","74.99","2.9","2:00 AM","5/1/2023","5/1/2023 2:00 AM"
"-2.3","0","80.51","1.9","3:00 AM","5/1/2023","5/1/2023 3:00 AM"
"-0.8","0","80.51","1.9","4:00 AM","5/1/2023","5/1/2023 4:00 AM"
"-0.7","0","86.49","0.9","5:00 AM","5/1/2023","5/1/2023 5:00 AM"
"-0.7","0","86.49","0.9","6:00 AM","5/1/2023","5/1/2023 6:00 AM"
"4.9","0","68.58","4.9","7:00 AM","5/1/2023","5/1/2023 7:00 AM"
"7.8","0","63.96","7.8","8:00 AM","5/1/2023","5/1/2023 8:00 AM"
"10.1","0","57.14","10.1","9:00 AM","5/1/2023","5/1/2023 9:00 AM"
"11.7","0","55.19","11.7","10:00 AM","5/1/2023","5/1/2023 10:00 AM"
"12.9","0","49.94","12.9","11:00 AM","5/1/2023","5/1/2023 11:00 AM"
"13.9","0","45.8","13.9","12:00 PM","5/1/2023","5/1/2023 12:00 PM"
"14.9","0","43.24","14.9","1:00 PM","5/1/2023","5/1/2023 1:00 PM"
"15.7","0","40.76","15.7","2:00 PM","5/1/2023","5/1/2023 2:00 PM"
"16.2","0","39.23","16.2","3:00 PM","5/1/2023","5/1/2023 3:00 PM"
"16.4","0","40.7","16.4","4:00 PM","5/1/2023","5/1/2023 4:00 PM"
"16.2","0","41.81","16.2","5:00 PM","5/1/2023","5/1/2023 5:00 PM"
"15.7","0","44.37","15.7","6:00 PM","5/1/2023","5/1/2023 6:00 PM"
"14.2","0","50.65","14.2","7:00 PM","5/1/2023","5/1/2023 7:00 PM"
"11.9","0","57.63","11.9","8:00 PM","5/1/2023","5/1/2023 8:00 PM"
"10.7","0","60.64","10.7","9:00 PM","5/1/2023","5/1/2023 9:00 PM"
"10.2","0","60.54","10.2","10:00 PM","5/1/2023","5/1/2023 10:00 PM"
"8.4","0","63.85","9.3","11:00 PM","5/1/2023","5/1/2023 11:00 PM"
"7.5","0","65.04","8.6","12:00 AM","5/2/2023","5/2/2023 12:00 AM"
"7.1","0","64.46","8.1","1:00 AM","5/2/2023","5/2/2023 1:00 AM"
"6.4","0","64.33","7.4","2:00 AM","5/2/2023","5/2/2023 2:00 AM"
"6.1","0","63.82","7.2","3:00 AM","5/2/2023","5/2/2023 3:00 AM"
"5.9","0","65.64","7.1","4:00 AM","5/2/2023","5/2/2023 4:00 AM"
"6.1","0","67.09","7.2","5:00 AM","5/2/2023","5/2/2023 5:00 AM"
"6.8","0","68.25","8.1","6:00 AM","5/2/2023","5/2/2023 6:00 AM"
"11.2","0","62.49","11.2","7:00 AM","5/2/2023","5/2/2023 7:00 AM"
"14.2","0","55.84","14.2","8:00 AM","5/2/2023","5/2/2023 8:00 AM"
"15.7","85.7","55.84","15.7","9:00 AM","5/2/2023","5/2/2023 9:00 AM"
"17.8","85.7","56","17.8","10:00 AM","5/2/2023","5/2/2023 10:00 AM"
"19.8","85.7","49.75","19.8","11:00 AM","5/2/2023","5/2/2023 11:00 AM"
"20.4","85.7","45.42","20.4","12:00 PM","5/2/2023","5/2/2023 12:00 PM"
"20.7","85.7","41.37","20.7","1:00 PM","5/2/2023","5/2/2023 1:00 PM"
"20.1","85.7","49.47","20.1","2:00 PM","5/2/2023","5/2/2023 2:00 PM"
"19.4","100","52.75","19.4","3:00 PM","5/2/2023","5/2/2023 3:00 PM"
"18.8","100","58.16","18.8","4:00 PM","5/2/2023","5/2/2023 4:00 PM"
"18.2","100","61.17","18.2","5:00 PM","5/2/2023","5/2/2023 5:00 PM"
"15.7","100","76.61","15.7","6:00 PM","5/2/2023","5/2/2023 6:00 PM"
"14.2","100","86.06","14.2","7:00 PM","5/2/2023","5/2/2023 7:00 PM"
"13.6","100","90.05","13.6","8:00 PM","5/2/2023","5/2/2023 8:00 PM"
"13.1","81","92.43","13.1","9:00 PM","5/2/2023","5/2/2023 9:00 PM"
"12.6","81","93.01","12.6","10:00 PM","5/2/2023","5/2/2023 10:00 PM"
"12.2","81","95.49","12.2","11:00 PM","5/2/2023","5/2/2023 11:00 PM"
"11.9","81","96.12","11.9","12:00 AM","5/3/2023","5/3/2023 12:00 AM"
"11.6","81","93.58","11.6","1:00 AM","5/3/2023","5/3/2023 1:00 AM"
"11.1","81","91.08","11.1","2:00 AM","5/3/2023","5/3/2023 2:00 AM"
"10.7","61.9","91.06","10.7","3:00 AM","5/3/2023","5/3/2023 3:00 AM"
"10.3","61.9","89.81","10.3","4:00 AM","5/3/2023","5/3/2023 4:00 AM"
"10.1","61.9","92.25","10.1","5:00 AM","5/3/2023","5/3/2023 5:00 AM"
"10.1","61.9","94.14","10.1","6:00 AM","5/3/2023","5/3/2023 6:00 AM"
"10.4","61.9","94.16","10.4","7:00 AM","5/3/2023","5/3/2023 7:00 AM"
"10.8","61.9","88.65","10.8","8:00 AM","5/3/2023","5/3/2023 8:00 AM"
"11.3","57.1","86.34","11.3","9:00 AM","5/3/2023","5/3/2023 9:00 AM"
