"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"1.3","0","90","5.4","2023-04-26 00:00","2023-04-26","4/26/2023 12:00 AM"
"1.1","64","94","5","2023-04-26 01:00","2023-04-26","4/26/2023 1:00 AM"
"0.8","0","91","4.8","2023-04-26 02:00","2023-04-26","4/26/2023 2:00 AM"
"-0.2","0","88","3.9","2023-04-26 03:00","2023-04-26","4/26/2023 3:00 AM"
"-0.2","0","90","3.8","2023-04-26 04:00","2023-04-26","4/26/2023 4:00 AM"
"0","0","92","3.7","2023-04-26 05:00","2023-04-26","4/26/2023 5:00 AM"
"0.6","0","92","4.5","2023-04-26 06:00","2023-04-26","4/26/2023 6:00 AM"
"1.3","0","83","5.4","2023-04-26 07:00","2023-04-26","4/26/2023 7:00 AM"
"2.5","0","74","6.5","2023-04-26 08:00","2023-04-26","4/26/2023 8:00 AM"
"3.7","0","65","7.6","2023-04-26 09:00","2023-04-26","4/26/2023 9:00 AM"
"5","73","58","8.6","2023-04-26 10:00","2023-04-26","4/26/2023 10:00 AM"
"5.4","0","61","8.6","2023-04-26 11:00","2023-04-26","4/26/2023 11:00 AM"
"5.9","0","54","9.1","2023-04-26 12:00","2023-04-26","4/26/2023 12:00 PM"
"6.5","0","52","9.7","2023-04-26 13:00","2023-04-26","4/26/2023 1:00 PM"
"7.3","0","51","10.3","2023-04-26 14:00","2023-04-26","4/26/2023 2:00 PM"
"7","0","54","10.1","2023-04-26 15:00","2023-04-26","4/26/2023 3:00 PM"
"7","60","57","10","2023-04-26 16:00","2023-04-26","4/26/2023 4:00 PM"
"6.3","0","63","9.2","2023-04-26 17:00","2023-04-26","4/26/2023 5:00 PM"
"5.3","0","67","8","2023-04-26 18:00","2023-04-26","4/26/2023 6:00 PM"
"2.4","0","74","4.9","2023-04-26 19:00","2023-04-26","4/26/2023 7:00 PM"
"1","0","76","3.6","2023-04-26 20:00","2023-04-26","4/26/2023 8:00 PM"
"0.4","0","77","3.1","2023-04-26 21:00","2023-04-26","4/26/2023 9:00 PM"
"-0.4","0","79","2.5","2023-04-26 22:00","2023-04-26","4/26/2023 10:00 PM"
"-0.8","0","82","2.1","2023-04-26 23:00","2023-04-26","4/26/2023 11:00 PM"
"-1.3","0","84","1.6","2023-04-27 00:00","2023-04-27","4/27/2023 12:00 AM"
"-1.8","0","86","1.2","2023-04-27 01:00","2023-04-27","4/27/2023 1:00 AM"
"-1.8","0","87","1.1","2023-04-27 02:00","2023-04-27","4/27/2023 2:00 AM"
"-2.2","0","87","0.8","2023-04-27 03:00","2023-04-27","4/27/2023 3:00 AM"
"-2.5","0","90","0.5","2023-04-27 04:00","2023-04-27","4/27/2023 4:00 AM"
"-2.2","0","89","0.7","2023-04-27 05:00","2023-04-27","4/27/2023 5:00 AM"
"0.3","0","82","3.1","2023-04-27 06:00","2023-04-27","4/27/2023 6:00 AM"
"2.1","0","75","5.2","2023-04-27 07:00","2023-04-27","4/27/2023 7:00 AM"
"4.1","0","70","6.9","2023-04-27 08:00","2023-04-27","4/27/2023 8:00 AM"
"5.7","79","65","8.2","2023-04-27 09:00","2023-04-27","4/27/2023 9:00 AM"
"7","62","59","9.2","2023-04-27 10:00","2023-04-27","4/27/2023 10:00 AM"
"7.8","76","56","10","2023-04-27 11:00","2023-04-27","4/27/2023 11:00 AM"
"8.3","84","53","10.4","2023-04-27 12:00","2023-04-27","4/27/2023 12:00 PM"
"8.1","0","55","10.3","2023-04-27 13:00","2023-04-27","4/27/2023 1:00 PM"
"9","0","52","11","2023-04-27 14:00","2023-04-27","4/27/2023 2:00 PM"
"8.6","0","54","10.5","2023-04-27 15:00","2023-04-27","4/27/2023 3:00 PM"
"8.3","89","53","10.2","2023-04-27 16:00","2023-04-27","4/27/2023 4:00 PM"
"8.4","0","62","9.9","2023-04-27 17:00","2023-04-27","4/27/2023 5:00 PM"
"7.5","0","69","8.3","2023-04-27 18:00","2023-04-27","4/27/2023 6:00 PM"
"4.8","0","71","6.1","2023-04-27 19:00","2023-04-27","4/27/2023 7:00 PM"
"3.5","0","77","4.6","2023-04-27 20:00","2023-04-27","4/27/2023 8:00 PM"
"3.8","0","79","4","2023-04-27 21:00","2023-04-27","4/27/2023 9:00 PM"
"2.6","0","81","3.6","2023-04-27 22:00","2023-04-27","4/27/2023 10:00 PM"
"2","0","82","3.2","2023-04-27 23:00","2023-04-27","4/27/2023 11:00 PM"
"1.7","0","83","2.9","2023-04-28 00:00","2023-04-28","4/28/2023 12:00 AM"
"1.6","0","82","2.8","2023-04-28 01:00","2023-04-28","4/28/2023 1:00 AM"
"1","0","82","2.7","2023-04-28 02:00","2023-04-28","4/28/2023 2:00 AM"
"0.6","0","82","2.7","2023-04-28 03:00","2023-04-28","4/28/2023 3:00 AM"
"0.9","0","81","2.7","2023-04-28 04:00","2023-04-28","4/28/2023 4:00 AM"
"0.8","0","83","2.4","2023-04-28 05:00","2023-04-28","4/28/2023 5:00 AM"
"3.8","0","77","4.6","2023-04-28 06:00","2023-04-28","4/28/2023 6:00 AM"
"5.8","0","69","6.9","2023-04-28 07:00","2023-04-28","4/28/2023 7:00 AM"
"7.8","0","64","8.8","2023-04-28 08:00","2023-04-28","4/28/2023 8:00 AM"
"9.5","0","58","10.2","2023-04-28 09:00","2023-04-28","4/28/2023 9:00 AM"
"11.7","0","52","11.8","2023-04-28 10:00","2023-04-28","4/28/2023 10:00 AM"
"13.3","0","47","13.4","2023-04-28 11:00","2023-04-28","4/28/2023 11:00 AM"
"13.9","0","45","14","2023-04-28 12:00","2023-04-28","4/28/2023 12:00 PM"
