"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"10","77","93","10.4","2023-04-25 00:00","2023-04-25","4/25/2023 12:00 AM"
"9.8","78","94","10.3","2023-04-25 01:00","2023-04-25","4/25/2023 1:00 AM"
"9.7","84","94","10.3","2023-04-25 02:00","2023-04-25","4/25/2023 2:00 AM"
"9.3","66","95","10.2","2023-04-25 03:00","2023-04-25","4/25/2023 3:00 AM"
"8.4","64","95","10.2","2023-04-25 04:00","2023-04-25","4/25/2023 4:00 AM"
"6.4","68","94","9.6","2023-04-25 05:00","2023-04-25","4/25/2023 5:00 AM"
"5.6","76","93","8.9","2023-04-25 06:00","2023-04-25","4/25/2023 6:00 AM"
"4.8","63","93","8.2","2023-04-25 07:00","2023-04-25","4/25/2023 7:00 AM"
"4.4","81","93","7.9","2023-04-25 08:00","2023-04-25","4/25/2023 8:00 AM"
"4.4","87","92","7.7","2023-04-25 09:00","2023-04-25","4/25/2023 9:00 AM"
"5.4","77","90","8","2023-04-25 10:00","2023-04-25","4/25/2023 10:00 AM"
"6.7","73","87","8.8","2023-04-25 11:00","2023-04-25","4/25/2023 11:00 AM"
"7","70","84","9.5","2023-04-25 12:00","2023-04-25","4/25/2023 12:00 PM"
"6.1","88","84","9.1","2023-04-25 13:00","2023-04-25","4/25/2023 1:00 PM"
"5.4","85","87","8.5","2023-04-25 14:00","2023-04-25","4/25/2023 2:00 PM"
"5.4","73","87","7.9","2023-04-25 15:00","2023-04-25","4/25/2023 3:00 PM"
"6.9","70","87","8","2023-04-25 16:00","2023-04-25","4/25/2023 4:00 PM"
"8.3","73","86","8.3","2023-04-25 17:00","2023-04-25","4/25/2023 5:00 PM"
"7.8","64","89","8.2","2023-04-25 18:00","2023-04-25","4/25/2023 6:00 PM"
"6.3","73","92","7.1","2023-04-25 19:00","2023-04-25","4/25/2023 7:00 PM"
"5.8","0","92","6.1","2023-04-25 20:00","2023-04-25","4/25/2023 8:00 PM"
"4.6","0","91","5.9","2023-04-25 21:00","2023-04-25","4/25/2023 9:00 PM"
"3.2","0","91","5.5","2023-04-25 22:00","2023-04-25","4/25/2023 10:00 PM"
