"feelsLike","rain","humidity","temperature","time","datetime","datetimeWithTime"
"7.2","0","61.53","8.9","12:00 AM","5/2/2023","5/2/2023 12:00 AM"
"7.3","0","65.84","7.9","1:00 AM","5/2/2023","5/2/2023 1:00 AM"
"4.4","0","70.29","5.9","2:00 AM","5/2/2023","5/2/2023 2:00 AM"
"4.4","0","70.29","5.9","3:00 AM","5/2/2023","5/2/2023 3:00 AM"
"3.9","0","80.8","3.9","4:00 AM","5/2/2023","5/2/2023 4:00 AM"
"3.9","0","86.8","3.9","5:00 AM","5/2/2023","5/2/2023 5:00 AM"
"2.1","0","86.8","3.9","6:00 AM","5/2/2023","5/2/2023 6:00 AM"
"3.9","0","81.07","5.9","7:00 AM","5/2/2023","5/2/2023 7:00 AM"
"10.9","0","62","10.9","8:00 AM","5/2/2023","5/2/2023 8:00 AM"
"13.9","0","54.61","13.9","9:00 AM","5/2/2023","5/2/2023 9:00 AM"
"17.9","0","45.34","17.9","10:00 AM","5/2/2023","5/2/2023 10:00 AM"
"19.9","0","45.9","19.9","11:00 AM","5/2/2023","5/2/2023 11:00 AM"
"20.9","100","40.3","20.9","12:00 PM","5/2/2023","5/2/2023 12:00 PM"
"21.9","100","35.39","21.9","1:00 PM","5/2/2023","5/2/2023 1:00 PM"
"18.9","0","45.62","18.9","2:00 PM","5/2/2023","5/2/2023 2:00 PM"
"21.9","0","40.59","21.9","3:00 PM","5/2/2023","5/2/2023 3:00 PM"
"17.9","0","59.51","17.9","4:00 PM","5/2/2023","5/2/2023 4:00 PM"
"16.9","100","59.27","16.9","5:00 PM","5/2/2023","5/2/2023 5:00 PM"
"16.9","100","59.27","16.9","6:00 PM","5/2/2023","5/2/2023 6:00 PM"
"15.9","100","72.21","15.9","7:00 PM","5/2/2023","5/2/2023 7:00 PM"
"14.9","0","72.03","14.9","8:00 PM","5/2/2023","5/2/2023 8:00 PM"
"13.9","0","76.83","13.9","9:00 PM","5/2/2023","5/2/2023 9:00 PM"
"12.4","0","88.78","12.4","10:00 PM","5/2/2023","5/2/2023 10:00 PM"
"12.2","61.9","92.99","12.2","11:00 PM","5/2/2023","5/2/2023 11:00 PM"
"11.9","61.9","94.85","11.9","12:00 AM","5/3/2023","5/3/2023 12:00 AM"
"11.7","61.9","95.47","11.7","1:00 AM","5/3/2023","5/3/2023 1:00 AM"
"11.3","61.9","95.46","11.3","2:00 AM","5/3/2023","5/3/2023 2:00 AM"
"11.2","42.9","94.82","11.2","3:00 AM","5/3/2023","5/3/2023 3:00 AM"
"10.8","42.9","93.55","10.8","4:00 AM","5/3/2023","5/3/2023 4:00 AM"
"10.4","42.9","92.9","10.4","5:00 AM","5/3/2023","5/3/2023 5:00 AM"
"10.3","42.9","94.79","10.3","6:00 AM","5/3/2023","5/3/2023 6:00 AM"
"10.7","42.9","94.8","10.7","7:00 AM","5/3/2023","5/3/2023 7:00 AM"
"10.8","42.9","94.17","10.8","8:00 AM","5/3/2023","5/3/2023 8:00 AM"
"10.8","61.9","92.92","10.8","9:00 AM","5/3/2023","5/3/2023 9:00 AM"
"10.9","61.9","91.69","10.9","10:00 AM","5/3/2023","5/3/2023 10:00 AM"
"11.6","61.9","85.2","11.6","11:00 AM","5/3/2023","5/3/2023 11:00 AM"
"11.9","61.9","80.78","11.9","12:00 PM","5/3/2023","5/3/2023 12:00 PM"
"12.3","61.9","78.66","12.3","1:00 PM","5/3/2023","5/3/2023 1:00 PM"
"12.3","61.9","77.62","12.3","2:00 PM","5/3/2023","5/3/2023 2:00 PM"
"12.1","42.9","78.1","12.1","3:00 PM","5/3/2023","5/3/2023 3:00 PM"
"12.3","42.9","76.06","12.3","4:00 PM","5/3/2023","5/3/2023 4:00 PM"
"12.3","42.9","76.04","12.3","5:00 PM","5/3/2023","5/3/2023 5:00 PM"
"12.3","42.9","76.58","12.3","6:00 PM","5/3/2023","5/3/2023 6:00 PM"
"11.9","42.9","80.78","11.9","7:00 PM","5/3/2023","5/3/2023 7:00 PM"
"11.4","42.9","82.36","11.4","8:00 PM","5/3/2023","5/3/2023 8:00 PM"
"10.8","14.3","85.13","10.8","9:00 PM","5/3/2023","5/3/2023 9:00 PM"
"10.7","14.3","85.11","10.7","10:00 PM","5/3/2023","5/3/2023 10:00 PM"
"10.2","14.3","87.99","10.2","11:00 PM","5/3/2023","5/3/2023 11:00 PM"
"9.7","14.3","89.76","9.7","12:00 AM","5/4/2023","5/4/2023 12:00 AM"
"9.2","14.3","78.21","9.2","1:00 AM","5/4/2023","5/4/2023 1:00 AM"
"8.4","14.3","77","8.4","2:00 AM","5/4/2023","5/4/2023 2:00 AM"
"7.6","0","79.05","7.6","3:00 AM","5/4/2023","5/4/2023 3:00 AM"
"6.3","0","82.86","6.3","4:00 AM","5/4/2023","5/4/2023 4:00 AM"
"5.8","0","82.8","5.8","5:00 AM","5/4/2023","5/4/2023 5:00 AM"
"5.8","0","82.22","5.8","6:00 AM","5/4/2023","5/4/2023 6:00 AM"
"7.1","0","81.8","7.1","7:00 AM","5/4/2023","5/4/2023 7:00 AM"
"8.7","0","73.36","8.7","8:00 AM","5/4/2023","5/4/2023 8:00 AM"
"10.3","0","68.72","10.3","9:00 AM","5/4/2023","5/4/2023 9:00 AM"
