"feelsLike","rain","humidity","temperature","time","date","datetimeWithTime"
"3.8","0","81","6.2","2023-04-29 00:00","2023-04-29","4/29/2023 12:00 AM"
"4.1","0","82","6.2","2023-04-29 01:00","2023-04-29","4/29/2023 1:00 AM"
"3.6","0","84","5.8","2023-04-29 02:00","2023-04-29","4/29/2023 2:00 AM"
"3.8","0","83","6","2023-04-29 03:00","2023-04-29","4/29/2023 3:00 AM"
"3.2","0","84","5.3","2023-04-29 04:00","2023-04-29","4/29/2023 4:00 AM"
"3.5","0","85","5.5","2023-04-29 05:00","2023-04-29","4/29/2023 5:00 AM"
"5.7","0","80","7.4","2023-04-29 06:00","2023-04-29","4/29/2023 6:00 AM"
"7.7","0","75","9.4","2023-04-29 07:00","2023-04-29","4/29/2023 7:00 AM"
"9.7","0","71","11.6","2023-04-29 08:00","2023-04-29","4/29/2023 8:00 AM"
"11.6","0","65","13.3","2023-04-29 09:00","2023-04-29","4/29/2023 9:00 AM"
"11.7","0","66","13.4","2023-04-29 10:00","2023-04-29","4/29/2023 10:00 AM"
"10","0","74","11.9","2023-04-29 11:00","2023-04-29","4/29/2023 11:00 AM"
"9.4","0","77","11.2","2023-04-29 12:00","2023-04-29","4/29/2023 12:00 PM"
"9.3","0","82","10.6","2023-04-29 13:00","2023-04-29","4/29/2023 1:00 PM"
"9.1","60","88","10","2023-04-29 14:00","2023-04-29","4/29/2023 2:00 PM"
"9.5","79","88","10.3","2023-04-29 15:00","2023-04-29","4/29/2023 3:00 PM"
"9.9","88","86","10.9","2023-04-29 16:00","2023-04-29","4/29/2023 4:00 PM"
"10.3","0","85","11.3","2023-04-29 17:00","2023-04-29","4/29/2023 5:00 PM"
"10.1","0","88","10.9","2023-04-29 18:00","2023-04-29","4/29/2023 6:00 PM"
"9.6","74","88","10.3","2023-04-29 19:00","2023-04-29","4/29/2023 7:00 PM"
"8.9","79","90","9.9","2023-04-29 20:00","2023-04-29","4/29/2023 8:00 PM"
"7.7","78","93","8.9","2023-04-29 21:00","2023-04-29","4/29/2023 9:00 PM"
"7.5","82","94","8.7","2023-04-29 22:00","2023-04-29","4/29/2023 10:00 PM"
"8.1","72","94","9.1","2023-04-29 23:00","2023-04-29","4/29/2023 11:00 PM"
"8.2","63","95","9.3","2023-04-30 00:00","2023-04-30","4/30/2023 12:00 AM"
"8.2","75","96","9.4","2023-04-30 01:00","2023-04-30","4/30/2023 1:00 AM"
"7.7","0","97","9.6","2023-04-30 02:00","2023-04-30","4/30/2023 2:00 AM"
"7.3","0","97","9.6","2023-04-30 03:00","2023-04-30","4/30/2023 3:00 AM"
"6.9","66","97","9.4","2023-04-30 04:00","2023-04-30","4/30/2023 4:00 AM"
"6.5","0","95","9.2","2023-04-30 05:00","2023-04-30","4/30/2023 5:00 AM"
"6.4","0","96","9.2","2023-04-30 06:00","2023-04-30","4/30/2023 6:00 AM"
"5.4","74","96","8.5","2023-04-30 07:00","2023-04-30","4/30/2023 7:00 AM"
"5","81","93","8.2","2023-04-30 08:00","2023-04-30","4/30/2023 8:00 AM"
"4.5","70","90","7.7","2023-04-30 09:00","2023-04-30","4/30/2023 9:00 AM"
"7.1","75","81","9.5","2023-04-30 10:00","2023-04-30","4/30/2023 10:00 AM"
"10.1","0","68","12.2","2023-04-30 11:00","2023-04-30","4/30/2023 11:00 AM"
"10.7","0","62","12.7","2023-04-30 12:00","2023-04-30","4/30/2023 12:00 PM"
"12.3","61","55","13.9","2023-04-30 13:00","2023-04-30","4/30/2023 1:00 PM"
"15.9","0","50","15.9","2023-04-30 14:00","2023-04-30","4/30/2023 2:00 PM"
"16.8","0","49","16.8","2023-04-30 15:00","2023-04-30","4/30/2023 3:00 PM"
"16.5","0","53","16.5","2023-04-30 16:00","2023-04-30","4/30/2023 4:00 PM"
"15.4","0","57","15.4","2023-04-30 17:00","2023-04-30","4/30/2023 5:00 PM"
"9.9","0","68","11.3","2023-04-30 18:00","2023-04-30","4/30/2023 6:00 PM"
"7.7","0","70","9.3","2023-04-30 19:00","2023-04-30","4/30/2023 7:00 PM"
"4.9","0","74","6.3","2023-04-30 20:00","2023-04-30","4/30/2023 8:00 PM"
"4.8","0","77","5.4","2023-04-30 21:00","2023-04-30","4/30/2023 9:00 PM"
"4.9","0","77","4.9","2023-04-30 22:00","2023-04-30","4/30/2023 10:00 PM"
"4.5","0","77","4.5","2023-04-30 23:00","2023-04-30","4/30/2023 11:00 PM"
"3.9","0","79","3.9","2023-05-01 00:00","2023-05-01","5/1/2023 12:00 AM"
"3.4","0","81","3.4","2023-05-01 01:00","2023-05-01","5/1/2023 1:00 AM"
"3.1","0","82","3.1","2023-05-01 02:00","2023-05-01","5/1/2023 2:00 AM"
"2.8","0","83","2.8","2023-05-01 03:00","2023-05-01","5/1/2023 3:00 AM"
"2.5","0","84","2.5","2023-05-01 04:00","2023-05-01","5/1/2023 4:00 AM"
"2.2","0","81","3.1","2023-05-01 05:00","2023-05-01","5/1/2023 5:00 AM"
"4.5","0","75","5.4","2023-05-01 06:00","2023-05-01","5/1/2023 6:00 AM"
"6.4","0","68","7.5","2023-05-01 07:00","2023-05-01","5/1/2023 7:00 AM"
"8.1","0","63","9.4","2023-05-01 08:00","2023-05-01","5/1/2023 8:00 AM"
"9.6","0","58","10.9","2023-05-01 09:00","2023-05-01","5/1/2023 9:00 AM"
