"feelsLike","rain","humidity","temperature","time","datetime","datetimeWithTime"
"3.3","0","93.3","5.9","12:00 AM","4/26/2023","4/26/2023 12:00 AM"
"3.3","0","93.3","5.9","1:00 AM","4/26/2023","4/26/2023 1:00 AM"
"2.9","0","100","5.9","2:00 AM","4/26/2023","4/26/2023 2:00 AM"
"2.7","0","93.3","5.9","3:00 AM","4/26/2023","4/26/2023 3:00 AM"
"2.5","0","93.3","5.9","4:00 AM","4/26/2023","4/26/2023 4:00 AM"
"2.0","0","93.3","5.9","5:00 AM","4/26/2023","4/26/2023 5:00 AM"
"2.2","0","87","5.9","6:00 AM","4/26/2023","4/26/2023 6:00 AM"
"2.0","0","81.07","5.9","7:00 AM","4/26/2023","4/26/2023 7:00 AM"
"1.7","0","75.51","5.9","8:00 AM","4/26/2023","4/26/2023 8:00 AM"
"2.9","0","70.49","6.9","9:00 AM","4/26/2023","4/26/2023 9:00 AM"
"3.3","0","65.61","6.9","10:00 AM","4/26/2023","4/26/2023 10:00 AM"
"5.4","0","53.28","8.9","11:00 AM","4/26/2023","4/26/2023 11:00 AM"
"4.2","0","57.01","7.9","12:00 PM","4/26/2023","4/26/2023 12:00 PM"
"4.6","0","53.01","7.9","1:00 PM","4/26/2023","4/26/2023 1:00 PM"
"6.2","0","46.03","8.9","2:00 PM","4/26/2023","4/26/2023 2:00 PM"
"5.6","0","46.03","8.9","3:00 PM","4/26/2023","4/26/2023 3:00 PM"
"5.7","0","46.03","8.9","4:00 PM","4/26/2023","4/26/2023 4:00 PM"
"5.6","0","42.74","8.9","5:00 PM","4/26/2023","4/26/2023 5:00 PM"
"5.8","0","42.74","8.9","6:00 PM","4/26/2023","4/26/2023 6:00 PM"
"5.0","0","45.74","7.9","7:00 PM","4/26/2023","4/26/2023 7:00 PM"
"3.3","0","56.49","5.9","8:00 PM","4/26/2023","4/26/2023 8:00 PM"
"3.3","0","61.54","5.3","9:00 PM","4/26/2023","4/26/2023 9:00 PM"
"2.4","0","66.96","4.3","10:00 PM","4/26/2023","4/26/2023 10:00 PM"
"1.7","0","69.33","3.7","11:00 PM","4/26/2023","4/26/2023 11:00 PM"
"1.3","0","73.38","3.1","12:00 AM","4/27/2023","4/27/2023 12:00 AM"
"1.0","0","75.47","2.6","1:00 AM","4/27/2023","4/27/2023 1:00 AM"
"0.6","0","76.52","2.2","2:00 AM","4/27/2023","4/27/2023 2:00 AM"
"0.1","0","77.58","1.7","3:00 AM","4/27/2023","4/27/2023 3:00 AM"
"-0.2","0","78.68","1.4","4:00 AM","4/27/2023","4/27/2023 4:00 AM"
"-0.5","0","80.41","1.2","5:00 AM","4/27/2023","4/27/2023 5:00 AM"
"0.0","0","80.45","1.6","6:00 AM","4/27/2023","4/27/2023 6:00 AM"
"1.2","0","76.65","2.9","7:00 AM","4/27/2023","4/27/2023 7:00 AM"
"1.8","0","72.56","4.3","8:00 AM","4/27/2023","4/27/2023 8:00 AM"
"3.5","66.7","67.82","6.1","9:00 AM","4/27/2023","4/27/2023 9:00 AM"
"5.1","66.7","64.77","7.3","10:00 AM","4/27/2023","4/27/2023 10:00 AM"
"5.9","66.7","59.59","8.2","11:00 AM","4/27/2023","4/27/2023 11:00 AM"
"5.2","66.7","59.9","7.7","12:00 PM","4/27/2023","4/27/2023 12:00 PM"
"5.8","66.7","56.3","8.3","1:00 PM","4/27/2023","4/27/2023 1:00 PM"
"6.6","66.7","54.82","8.8","2:00 PM","4/27/2023","4/27/2023 2:00 PM"
"6.7","42.9","53.64","8.8","3:00 PM","4/27/2023","4/27/2023 3:00 PM"
"6.8","42.9","53.67","8.9","4:00 PM","4/27/2023","4/27/2023 4:00 PM"
"6.8","42.9","54.85","8.9","5:00 PM","4/27/2023","4/27/2023 5:00 PM"
"6.7","42.9","56.35","8.6","6:00 PM","4/27/2023","4/27/2023 6:00 PM"
"6.8","42.9","62.15","7.8","7:00 PM","4/27/2023","4/27/2023 7:00 PM"
"6.7","42.9","67","6.7","8:00 PM","4/27/2023","4/27/2023 8:00 PM"
"5.6","0","72.78","5.6","9:00 PM","4/27/2023","4/27/2023 9:00 PM"
"4.7","0","75.3","4.7","10:00 PM","4/27/2023","4/27/2023 10:00 PM"
"3.9","0","77.93","3.9","11:00 PM","4/27/2023","4/27/2023 11:00 PM"
"3.4","0","78.42","3.4","12:00 AM","4/28/2023","4/28/2023 12:00 AM"
"3.2","0","78.38","3.2","1:00 AM","4/28/2023","4/28/2023 1:00 AM"
"2.4","0","80.58","2.4","2:00 AM","4/28/2023","4/28/2023 2:00 AM"
"1.6","0","84.68","1.6","3:00 AM","4/28/2023","4/28/2023 3:00 AM"
"0.8","0","89.05","0.8","4:00 AM","4/28/2023","4/28/2023 4:00 AM"
"0.4","0","91.66","0.4","5:00 AM","4/28/2023","4/28/2023 5:00 AM"
"0.2","0","92.99","0.2","6:00 AM","4/28/2023","4/28/2023 6:00 AM"
"1.9","0","87.86","1.9","7:00 AM","4/28/2023","4/28/2023 7:00 AM"
"5.8","0","74.42","5.8","8:00 AM","4/28/2023","4/28/2023 8:00 AM"
"7.6","0","64.99","8.3","9:00 AM","4/28/2023","4/28/2023 9:00 AM"
"10.1","0","60.06","10.1","10:00 AM","4/28/2023","4/28/2023 10:00 AM"
"11.4","0","55.11","11.4","11:00 AM","4/28/2023","4/28/2023 11:00 AM"
"12.4","0","50.15","12.4","12:00 PM","4/28/2023","4/28/2023 12:00 PM"
"13.1","0","46.2","13.1","1:00 PM","4/28/2023","4/28/2023 1:00 PM"
"13.7","0","44.43","13.7","2:00 PM","4/28/2023","4/28/2023 2:00 PM"
"13.8","0","43.54","13.8","3:00 PM","4/28/2023","4/28/2023 3:00 PM"
"14.3","0","43.69","14.3","4:00 PM","4/28/2023","4/28/2023 4:00 PM"
"14.2","0","44.92","14.2","5:00 PM","4/28/2023","4/28/2023 5:00 PM"
"13.6","0","51.17","13.6","6:00 PM","4/28/2023","4/28/2023 6:00 PM"
"12.2","0","57.68","12.2","7:00 PM","4/28/2023","4/28/2023 7:00 PM"
"11.2","0","56.62","11.2","8:00 PM","4/28/2023","4/28/2023 8:00 PM"
"10.7","42.9","58.95","10.7","9:00 PM","4/28/2023","4/28/2023 9:00 PM"
"10.2","42.9","61.4","10.2","10:00 PM","4/28/2023","4/28/2023 10:00 PM"
"8.6","42.9","70.51","9.6","11:00 PM","4/28/2023","4/28/2023 11:00 PM"
"8.3","42.9","76.04","9.1","12:00 AM","4/29/2023","4/29/2023 12:00 AM"
"7.8","42.9","79.21","8.7","1:00 AM","4/29/2023","4/29/2023 1:00 AM"
"7.3","42.9","79.75","8.6","2:00 AM","4/29/2023","4/29/2023 2:00 AM"
"6.2","76.2","81.94","8.2","3:00 AM","4/29/2023","4/29/2023 3:00 AM"
"5.7","76.2","83.63","7.8","4:00 AM","4/29/2023","4/29/2023 4:00 AM"
"5.4","76.2","84.79","7.7","5:00 AM","4/29/2023","4/29/2023 5:00 AM"
"5.9","76.2","84.22","7.9","6:00 AM","4/29/2023","4/29/2023 6:00 AM"
"6.4","76.2","81.98","8.4","7:00 AM","4/29/2023","4/29/2023 7:00 AM"
"7.3","76.2","80.95","9.2","8:00 AM","4/29/2023","4/29/2023 8:00 AM"
"10.4","85.7","79.47","10.4","9:00 AM","4/29/2023","4/29/2023 9:00 AM"
