"feelsLike","rain","humidity","temperature","time2","date"
"7.1","0","55","9.4","4/22/2023, 12:00:00 AM","00:00"
"6.5","0","57","8.8","4/22/2023, 1:00:00 AM","01:00"
"5.4","0","63","7.7","4/22/2023, 2:00:00 AM","02:00"
"3.2","0","71","5.8","4/22/2023, 3:00:00 AM","03:00"
"1.5","0","84","4","4/22/2023, 4:00:00 AM","04:00"
"0.3","0","87","2.9","4/22/2023, 5:00:00 AM","05:00"
"0.4","0","87","3","4/22/2023, 6:00:00 AM","06:00"
"2","0","84","4.4","4/22/2023, 7:00:00 AM","07:00"
"6.3","0","77","8","4/22/2023, 8:00:00 AM","08:00"
"9.2","0","60","10.9","4/22/2023, 9:00:00 AM","09:00"
"11.7","0","55","13.2","4/22/2023, 10:00:00 AM","10:00"
"15.3","0","45","16","4/22/2023, 11:00:00 AM","11:00"
"16.9","0","38","17.5","4/22/2023, 12:00:00 PM","12:00"
"17.5","0","34","18.2","4/22/2023, 1:00:00 PM","13:00"
"17.3","0","34","18.4","4/22/2023, 2:00:00 PM","14:00"
"17.2","0","33","18.6","4/22/2023, 3:00:00 PM","15:00"
"16.3","0","32","18.5","4/22/2023, 4:00:00 PM","16:00"
"16","0","31","18.5","4/22/2023, 5:00:00 PM","17:00"
"15.3","0","32","17.9","4/22/2023, 6:00:00 PM","18:00"
"13.7","0","46","15.7","4/22/2023, 7:00:00 PM","19:00"
"10.2","0","54","12.6","4/22/2023, 8:00:00 PM","20:00"
"8.3","0","61","10.9","4/22/2023, 9:00:00 PM","21:00"
"7.1","0","60","10","4/22/2023, 10:00:00 PM","22:00"
"6.7","0","60","9.8","4/22/2023, 11:00:00 PM","23:00"
"7.1","0","57","10.1","4/23/2023, 12:00:00 AM","00:00"
"6","0","62","8.9","4/23/2023, 1:00:00 AM","01:00"
"4.9","0","67","7.9","4/23/2023, 2:00:00 AM","02:00"
"4","0","70","6.9","4/23/2023, 3:00:00 AM","03:00"
"3.2","0","73","6.1","4/23/2023, 4:00:00 AM","04:00"
"2.4","0","76","5.4","4/23/2023, 5:00:00 AM","05:00"
"2","0","77","5","4/23/2023, 6:00:00 AM","06:00"
"3.9","0","73","6.6","4/23/2023, 7:00:00 AM","07:00"
"8.8","0","63","11","4/23/2023, 8:00:00 AM","08:00"
"11.7","0","51","14.1","4/23/2023, 9:00:00 AM","09:00"
"14.6","0","47","16.6","4/23/2023, 10:00:00 AM","10:00"
"17.5","0","43","18.6","4/23/2023, 11:00:00 AM","11:00"
"19.2","0","39","19.8","4/23/2023, 12:00:00 PM","12:00"
"19.2","0","34","20.6","4/23/2023, 1:00:00 PM","13:00"
"19.2","0","32","21","4/23/2023, 2:00:00 PM","14:00"
"18.2","0","30","21.2","4/23/2023, 3:00:00 PM","15:00"
"17.8","0","32","20.9","4/23/2023, 4:00:00 PM","16:00"
"17.1","0","31","20.5","4/23/2023, 5:00:00 PM","17:00"
"16.6","0","36","19.6","4/23/2023, 6:00:00 PM","18:00"
"14.3","0","40","17.6","4/23/2023, 7:00:00 PM","19:00"
"12.4","0","42","15.8","4/23/2023, 8:00:00 PM","20:00"
"11.2","0","41","15","4/23/2023, 9:00:00 PM","21:00"
"11.1","0","41","14.8","4/23/2023, 10:00:00 PM","22:00"
"11.1","0","42","14.7","4/23/2023, 11:00:00 PM","23:00"
"11.3","0","47","14.5","4/24/2023, 12:00:00 AM","00:00"
"10.9","0","47","14.1","4/24/2023, 1:00:00 AM","01:00"
"10.4","0","46","13.5","4/24/2023, 2:00:00 AM","02:00"
"9.3","0","49","12.4","4/24/2023, 3:00:00 AM","03:00"
"8.5","0","50","11.9","4/24/2023, 4:00:00 AM","04:00"
"8.3","0","49","11.7","4/24/2023, 5:00:00 AM","05:00"
"7.9","0","52","11.4","4/24/2023, 6:00:00 AM","06:00"
"8.8","0","58","12.1","4/24/2023, 7:00:00 AM","07:00"
"10.1","0","57","13.5","4/24/2023, 8:00:00 AM","08:00"
"11.6","0","55","15.2","4/24/2023, 9:00:00 AM","09:00"
"13.2","0","50","17.1","4/24/2023, 10:00:00 AM","10:00"
"14.9","0","44","18.5","4/24/2023, 11:00:00 AM","11:00"
"15.7","8","42","19.1","4/24/2023, 12:00:00 PM","12:00"
"15.7","15","40","19.5","4/24/2023, 1:00:00 PM","13:00"
