"feelsLike","rain","humidity","temperature","time","datetime","datetimeWithTime"
"6.2","0","70.49","6.9","12:00 AM","4/22/2023","4/22/2023 12:00 AM"
"5.1","0","70.49","6.9","1:00 AM","4/22/2023","4/22/2023 1:00 AM"
"3.3","0","75.51","5.9","2:00 AM","4/22/2023","4/22/2023 2:00 AM"
"2.1","0","86.8","3.9","3:00 AM","4/22/2023","4/22/2023 3:00 AM"
"0.4","0","86.7","2.9","4:00 AM","4/22/2023","4/22/2023 4:00 AM"
"1.6","0","93.14","2.9","5:00 AM","4/22/2023","4/22/2023 5:00 AM"
"-0.7","0","86.7","2.9","6:00 AM","4/22/2023","4/22/2023 6:00 AM"
"2.1","0","86.8","3.9","7:00 AM","4/22/2023","4/22/2023 7:00 AM"
"6.3","0","70.69","7.9","8:00 AM","4/22/2023","4/22/2023 8:00 AM"
"10.9","0","57.78","10.9","9:00 AM","4/22/2023","4/22/2023 9:00 AM"
"13.9","0","58.53","13.9","10:00 AM","4/22/2023","4/22/2023 10:00 AM"
"15.9","0","44.77","15.9","11:00 AM","4/22/2023","4/22/2023 11:00 AM"
"16.9","0","39.15","16.9","12:00 PM","4/22/2023","4/22/2023 12:00 PM"
"16.9","0","33.94","16.9","1:00 PM","4/22/2023","4/22/2023 1:00 PM"
"16.9","0","42.01","16.9","2:00 PM","4/22/2023","4/22/2023 2:00 PM"
"16.9","0","33.94","16.9","3:00 PM","4/22/2023","4/22/2023 3:00 PM"
"17.9","0","34.24","17.9","4:00 PM","4/22/2023","4/22/2023 4:00 PM"
"17.9","0","31.87","17.9","5:00 PM","4/22/2023","4/22/2023 5:00 PM"
"16.9","0","36.47","16.9","6:00 PM","4/22/2023","4/22/2023 6:00 PM"
"15.9","0","41.72","15.9","7:00 PM","4/22/2023","4/22/2023 7:00 PM"
"14.9","0","41.43","14.9","8:00 PM","4/22/2023","4/22/2023 8:00 PM"
"12.9","0","47.17","12.9","9:00 PM","4/22/2023","4/22/2023 9:00 PM"
