"feelsLike","rain","humidity","temperature","time2","date"
"4.4","0","62","6.7","5/1/2023, 12:00:00 AM","00:00"
"3.7","0","62","6.2","5/1/2023, 1:00:00 AM","01:00"
"2.3","0","72","4.8","5/1/2023, 2:00:00 AM","02:00"
"1.7","0","73","4.2","5/1/2023, 3:00:00 AM","03:00"
"1.4","0","75","4","5/1/2023, 4:00:00 AM","04:00"
"1","0","76","3.6","5/1/2023, 5:00:00 AM","05:00"
"0.9","0","75","3.6","5/1/2023, 6:00:00 AM","06:00"
"2.3","0","75","4.8","5/1/2023, 7:00:00 AM","07:00"
"5.6","0","69","7.8","5/1/2023, 8:00:00 AM","08:00"
"7.7","0","63","9.9","5/1/2023, 9:00:00 AM","09:00"
"9.6","0","60","11.6","5/1/2023, 10:00:00 AM","10:00"
"11.3","0","54","12.9","5/1/2023, 11:00:00 AM","11:00"
"12.8","0","52","13.8","5/1/2023, 12:00:00 PM","12:00"
"13.9","0","50","14.7","5/1/2023, 1:00:00 PM","13:00"
"14.3","0","47","15.5","5/1/2023, 2:00:00 PM","14:00"
"14.3","0","46","16","5/1/2023, 3:00:00 PM","15:00"
"13.5","0","43","16.2","5/1/2023, 4:00:00 PM","16:00"
"13.2","0","47","16","5/1/2023, 5:00:00 PM","17:00"
"12.6","0","48","15.4","5/1/2023, 6:00:00 PM","18:00"
"11.6","0","55","13.9","5/1/2023, 7:00:00 PM","19:00"
"9.3","0","66","11.5","5/1/2023, 8:00:00 PM","20:00"
"7.8","0","73","10.1","5/1/2023, 9:00:00 PM","21:00"
"7.1","0","66","10","5/1/2023, 10:00:00 PM","22:00"
"6.7","0","67","9.4","5/1/2023, 11:00:00 PM","23:00"
"6.1","0","70","8.7","5/2/2023, 12:00:00 AM","00:00"
"5.3","0","71","8","5/2/2023, 1:00:00 AM","01:00"
"4.6","0","72","7.2","5/2/2023, 2:00:00 AM","02:00"
"4.1","0","69","7","5/2/2023, 3:00:00 AM","03:00"
"4","0","66","7","5/2/2023, 4:00:00 AM","04:00"
"4.1","0","66","7.1","5/2/2023, 5:00:00 AM","05:00"
"4.8","0","69","7.5","5/2/2023, 6:00:00 AM","06:00"
"7.3","0","70","9.7","5/2/2023, 7:00:00 AM","07:00"
"11.2","0","61","13.4","5/2/2023, 8:00:00 AM","08:00"
"13.2","6","59","15.5","5/2/2023, 9:00:00 AM","09:00"
"14.8","13","63","16.2","5/2/2023, 10:00:00 AM","10:00"
"17.9","19","61","18.8","5/2/2023, 11:00:00 AM","11:00"
"19.3","43","51","20.2","5/2/2023, 12:00:00 PM","12:00"
"19.7","66","46","20.8","5/2/2023, 1:00:00 PM","13:00"
"19.2","90","46","20.5","5/2/2023, 2:00:00 PM","14:00"
"19.4","91","45","20.7","5/2/2023, 3:00:00 PM","15:00"
"18.1","93","57","19.5","5/2/2023, 4:00:00 PM","16:00"
"17.6","94","62","18.7","5/2/2023, 5:00:00 PM","17:00"
"15.9","93","86","15.6","5/2/2023, 6:00:00 PM","18:00"
"16","91","89","15.2","5/2/2023, 7:00:00 PM","19:00"
"13.6","90","91","14.1","5/2/2023, 8:00:00 PM","20:00"
"13.3","89","94","13.3","5/2/2023, 9:00:00 PM","21:00"
"12.8","88","95","12.8","5/2/2023, 10:00:00 PM","22:00"
"12.2","87","97","12.2","5/2/2023, 11:00:00 PM","23:00"
"11.7","78","97","11.9","5/3/2023, 12:00:00 AM","00:00"
"11.3","70","98","11.6","5/3/2023, 1:00:00 AM","01:00"
"10.9","61","97","11.5","5/3/2023, 2:00:00 AM","02:00"
"10.9","63","97","11.1","5/3/2023, 3:00:00 AM","03:00"
"10.2","66","97","10.7","5/3/2023, 4:00:00 AM","04:00"
"9.8","68","96","10.6","5/3/2023, 5:00:00 AM","05:00"
"9.1","64","96","10.1","5/3/2023, 6:00:00 AM","06:00"
"9.4","59","95","10.2","5/3/2023, 7:00:00 AM","07:00"
"9.4","55","93","10.3","5/3/2023, 8:00:00 AM","08:00"
"9.4","55","92","10.5","5/3/2023, 9:00:00 AM","09:00"
"9.5","55","90","10.7","5/3/2023, 10:00:00 AM","10:00"
"10.5","55","86","11.6","5/3/2023, 11:00:00 AM","11:00"
"11.4","48","83","12.3","5/3/2023, 12:00:00 PM","12:00"
"11.1","42","81","12.4","5/3/2023, 1:00:00 PM","13:00"
"10.6","35","85","12.2","5/3/2023, 2:00:00 PM","14:00"
"10.4","38","86","12","5/3/2023, 3:00:00 PM","15:00"
"10.3","42","84","12","5/3/2023, 4:00:00 PM","16:00"
"10.5","45","85","11.8","5/3/2023, 5:00:00 PM","17:00"
"11.1","40","86","11.8","5/3/2023, 6:00:00 PM","18:00"
"11.2","34","89","11.6","5/3/2023, 7:00:00 PM","19:00"
"10.9","29","91","11.3","5/3/2023, 8:00:00 PM","20:00"
"10.4","28","91","10.9","5/3/2023, 9:00:00 PM","21:00"
"10.2","27","90","10.7","5/3/2023, 10:00:00 PM","22:00"
"9.8","26","89","10.4","5/3/2023, 11:00:00 PM","23:00"
"9.2","21","88","10.1","5/4/2023, 12:00:00 AM","00:00"
"8.4","15","83","9.8","5/4/2023, 1:00:00 AM","01:00"
"7.7","10","81","9.3","5/4/2023, 2:00:00 AM","02:00"
"7.2","12","81","8.8","5/4/2023, 3:00:00 AM","03:00"
"6.7","14","82","8.3","5/4/2023, 4:00:00 AM","04:00"
"6.2","16","84","7.8","5/4/2023, 5:00:00 AM","05:00"
"5.9","14","85","7.5","5/4/2023, 6:00:00 AM","06:00"
"6.1","12","82","7.9","5/4/2023, 7:00:00 AM","07:00"
"6.6","10","79","8.7","5/4/2023, 8:00:00 AM","08:00"
"7.4","11","78","9.5","5/4/2023, 9:00:00 AM","09:00"
"8.7","12","77","10.7","5/4/2023, 10:00:00 AM","10:00"
"10.1","13","75","12","5/4/2023, 11:00:00 AM","11:00"
"10.7","15","72","12.5","5/4/2023, 12:00:00 PM","12:00"
"11","17","68","12.9","5/4/2023, 1:00:00 PM","13:00"
"11.4","19","63","13.3","5/4/2023, 2:00:00 PM","14:00"
"11.8","15","60","13.7","5/4/2023, 3:00:00 PM","15:00"
"12.2","10","57","14.1","5/4/2023, 4:00:00 PM","16:00"
"12.4","6","57","14.1","5/4/2023, 5:00:00 PM","17:00"
"12.1","4","64","13.4","5/4/2023, 6:00:00 PM","18:00"
"11.2","2","74","12.2","5/4/2023, 7:00:00 PM","19:00"
"9.6","0","85","10.7","5/4/2023, 8:00:00 PM","20:00"
"8.5","0","89","9.6","5/4/2023, 9:00:00 PM","21:00"
"7.3","0","90","8.6","5/4/2023, 10:00:00 PM","22:00"
"6.1","0","91","7.5","5/4/2023, 11:00:00 PM","23:00"
"5.5","0","91","7","5/5/2023, 12:00:00 AM","00:00"
"5.2","0","91","6.8","5/5/2023, 1:00:00 AM","01:00"
"4.9","0","92","6.5","5/5/2023, 2:00:00 AM","02:00"
"4.2","0","94","5.9","5/5/2023, 3:00:00 AM","03:00"
