"feelsLike","rain","humidity","temperature","time2","date"
"11.2","22","46","14.3","4/24/2023, 12:00:00 AM","00:00"
"11.2","33","48","14.1","4/24/2023, 1:00:00 AM","01:00"
"11.4","45","51","13.9","4/24/2023, 2:00:00 AM","02:00"
"10.8","44","52","13.4","4/24/2023, 3:00:00 AM","03:00"
"10.2","43","53","13","4/24/2023, 4:00:00 AM","04:00"
"9.3","42","57","11.9","4/24/2023, 5:00:00 AM","05:00"
"9","28","54","11.9","4/24/2023, 6:00:00 AM","06:00"
"9.4","14","51","12.6","4/24/2023, 7:00:00 AM","07:00"
"10.3","0","47","13.9","4/24/2023, 8:00:00 AM","08:00"
"11.5","0","45","15.3","4/24/2023, 9:00:00 AM","09:00"
"13.5","0","43","17.2","4/24/2023, 10:00:00 AM","10:00"
"16","0","35","19.3","4/24/2023, 11:00:00 AM","11:00"
"17","8","32","20.1","4/24/2023, 12:00:00 PM","12:00"
"17.4","15","33","20.6","4/24/2023, 1:00:00 PM","13:00"
"17.1","23","30","20.8","4/24/2023, 2:00:00 PM","14:00"
"15.7","22","31","20.3","4/24/2023, 3:00:00 PM","15:00"
"14.4","20","41","18.7","4/24/2023, 4:00:00 PM","16:00"
"13.5","19","44","17.4","4/24/2023, 5:00:00 PM","17:00"
"12.9","29","49","16.3","4/24/2023, 6:00:00 PM","18:00"
"12","38","53","15","4/24/2023, 7:00:00 PM","19:00"
"11","48","60","13.4","4/24/2023, 8:00:00 PM","20:00"
"10.3","48","65","12.6","4/24/2023, 9:00:00 PM","21:00"
"9.8","48","69","11.9","4/24/2023, 10:00:00 PM","22:00"
"9.5","48","73","11.4","4/24/2023, 11:00:00 PM","23:00"
"9.6","60","77","11","4/25/2023, 12:00:00 AM","00:00"
"9","72","81","10.3","4/25/2023, 1:00:00 AM","01:00"
"9.1","84","90","10.3","4/25/2023, 2:00:00 AM","02:00"
"9.5","88","96","10.6","4/25/2023, 3:00:00 AM","03:00"
"9.4","93","97","10.7","4/25/2023, 4:00:00 AM","04:00"
"8.6","97","96","10.7","4/25/2023, 5:00:00 AM","05:00"
"7.9","96","94","10.3","4/25/2023, 6:00:00 AM","06:00"
"7","95","90","10","4/25/2023, 7:00:00 AM","07:00"
"5.8","94","88","9.4","4/25/2023, 8:00:00 AM","08:00"
"4.8","86","85","8.8","4/25/2023, 9:00:00 AM","09:00"
"4.6","79","85","8.5","4/25/2023, 10:00:00 AM","10:00"
"4.6","71","83","8.4","4/25/2023, 11:00:00 AM","11:00"
"5.1","66","80","8.9","4/25/2023, 12:00:00 PM","12:00"
"5.6","60","78","9.3","4/25/2023, 1:00:00 PM","13:00"
"5.5","55","75","9.2","4/25/2023, 2:00:00 PM","14:00"
"5.4","58","74","9","4/25/2023, 3:00:00 PM","15:00"
"5","62","71","8.8","4/25/2023, 4:00:00 PM","16:00"
"5.6","65","72","8.6","4/25/2023, 5:00:00 PM","17:00"
"6.3","50","75","8.7","4/25/2023, 6:00:00 PM","18:00"
"6.9","34","80","8.5","4/25/2023, 7:00:00 PM","19:00"
"7","19","82","8.3","4/25/2023, 8:00:00 PM","20:00"
"6.4","15","81","8.1","4/25/2023, 9:00:00 PM","21:00"
"5.3","10","83","7.5","4/25/2023, 10:00:00 PM","22:00"
"4.3","6","80","7","4/25/2023, 11:00:00 PM","23:00"
"3.7","6","77","6.7","4/26/2023, 12:00:00 AM","00:00"
"2.6","6","77","6.4","4/26/2023, 1:00:00 AM","01:00"
"2.1","6","80","5.9","4/26/2023, 2:00:00 AM","02:00"
"1.9","6","83","5.5","4/26/2023, 3:00:00 AM","03:00"
"1.7","6","84","5.3","4/26/2023, 4:00:00 AM","04:00"
"1","6","80","5.1","4/26/2023, 5:00:00 AM","05:00"
"0.3","4","74","4.7","4/26/2023, 6:00:00 AM","06:00"
"0.3","2","72","4.8","4/26/2023, 7:00:00 AM","07:00"
