"feelsLike","rain","humidity","temperature","time2","date"
"0.4","0","72","3.5","4/27/2023, 12:00:00 AM","00:00"
"-0.1","0","77","2.9","4/27/2023, 1:00:00 AM","01:00"
"-0.1","0","78","2.8","4/27/2023, 2:00:00 AM","02:00"
"-0.5","0","79","2.5","4/27/2023, 3:00:00 AM","03:00"
"-0.7","0","81","2.3","4/27/2023, 4:00:00 AM","04:00"
"-1.2","0","84","1.8","4/27/2023, 5:00:00 AM","05:00"
"-1.2","0","85","1.7","4/27/2023, 6:00:00 AM","06:00"
"-0.1","0","80","2.9","4/27/2023, 7:00:00 AM","07:00"
"1.2","0","72","4.7","4/27/2023, 8:00:00 AM","08:00"
"2.9","14","67","6.4","4/27/2023, 9:00:00 AM","09:00"
"3.8","28","63","7.4","4/27/2023, 10:00:00 AM","10:00"
"4","42","51","8.2","4/27/2023, 11:00:00 AM","11:00"
"4","36","51","8.1","4/27/2023, 12:00:00 PM","12:00"
"4.4","29","49","8.7","4/27/2023, 1:00:00 PM","13:00"
"4.9","23","48","9","4/27/2023, 2:00:00 PM","14:00"
"5.2","26","49","9.1","4/27/2023, 3:00:00 PM","15:00"
"5","29","49","9.2","4/27/2023, 4:00:00 PM","16:00"
"5.2","32","48","9.2","4/27/2023, 5:00:00 PM","17:00"
"5.1","26","50","8.8","4/27/2023, 6:00:00 PM","18:00"
"5.2","19","55","8.2","4/27/2023, 7:00:00 PM","19:00"
"4.2","13","62","6.8","4/27/2023, 8:00:00 PM","20:00"
"3.6","9","63","6.1","4/27/2023, 9:00:00 PM","21:00"
"2.5","4","65","5.2","4/27/2023, 10:00:00 PM","22:00"
"1.6","0","70","4.3","4/27/2023, 11:00:00 PM","23:00"
"1.1","0","72","3.7","4/28/2023, 12:00:00 AM","00:00"
"0.7","0","72","3.4","4/28/2023, 1:00:00 AM","01:00"
"0.3","0","72","3.1","4/28/2023, 2:00:00 AM","02:00"
"-0.3","0","75","2.5","4/28/2023, 3:00:00 AM","03:00"
"-1.1","0","79","1.8","4/28/2023, 4:00:00 AM","04:00"
"-1.7","0","83","1.1","4/28/2023, 5:00:00 AM","05:00"
"-2","0","85","1","4/28/2023, 6:00:00 AM","06:00"
"-0.1","0","80","2.7","4/28/2023, 7:00:00 AM","07:00"
"3.5","0","67","6.3","4/28/2023, 8:00:00 AM","08:00"
"5.9","0","57","8.8","4/28/2023, 9:00:00 AM","09:00"
"8.1","0","51","10.4","4/28/2023, 10:00:00 AM","10:00"
"9.3","0","46","11.4","4/28/2023, 11:00:00 AM","11:00"
"9.4","0","43","12","4/28/2023, 12:00:00 PM","12:00"
"10.2","0","39","12.9","4/28/2023, 1:00:00 PM","13:00"
"10.4","0","37","13.4","4/28/2023, 2:00:00 PM","14:00"
"10.4","0","36","13.6","4/28/2023, 3:00:00 PM","15:00"
"11.2","0","37","13.9","4/28/2023, 4:00:00 PM","16:00"
"10.9","0","39","13.7","4/28/2023, 5:00:00 PM","17:00"
"9.7","0","42","12.9","4/28/2023, 6:00:00 PM","18:00"
"8.3","0","49","11.6","4/28/2023, 7:00:00 PM","19:00"
"6.5","0","54","9.8","4/28/2023, 8:00:00 PM","20:00"
"5.6","0","56","9.2","4/28/2023, 9:00:00 PM","21:00"
"4.9","0","56","8.6","4/28/2023, 10:00:00 PM","22:00"
"5.1","0","59","8.6","4/28/2023, 11:00:00 PM","23:00"
"5.2","1","65","8.4","4/29/2023, 12:00:00 AM","00:00"
"5.6","2","64","8.5","4/29/2023, 1:00:00 AM","01:00"
"5.5","3","67","8.2","4/29/2023, 2:00:00 AM","02:00"
"5.7","13","70","8.1","4/29/2023, 3:00:00 AM","03:00"
"5.8","22","73","8.1","4/29/2023, 4:00:00 AM","04:00"
"5.6","32","75","7.9","4/29/2023, 5:00:00 AM","05:00"
"5.7","36","78","8.1","4/29/2023, 6:00:00 AM","06:00"
"5.7","41","79","8.4","4/29/2023, 7:00:00 AM","07:00"
"6","45","77","8.9","4/29/2023, 8:00:00 AM","08:00"
"6.6","47","76","9.7","4/29/2023, 9:00:00 AM","09:00"
"7.6","50","76","10.4","4/29/2023, 10:00:00 AM","10:00"
"8.7","52","73","11.5","4/29/2023, 11:00:00 AM","11:00"
"9.7","59","70","12.2","4/29/2023, 12:00:00 PM","12:00"
"10.7","67","68","13","4/29/2023, 1:00:00 PM","13:00"
"11.1","74","67","13.1","4/29/2023, 2:00:00 PM","14:00"
"11.6","69","65","13.7","4/29/2023, 3:00:00 PM","15:00"
"11.4","63","69","13.4","4/29/2023, 4:00:00 PM","16:00"
"11.5","58","72","13.2","4/29/2023, 5:00:00 PM","17:00"
"11.2","52","78","12.6","4/29/2023, 6:00:00 PM","18:00"
"11.2","45","82","11.9","4/29/2023, 7:00:00 PM","19:00"
"9.8","39","85","11","4/29/2023, 8:00:00 PM","20:00"
"9.3","38","85","10.5","4/29/2023, 9:00:00 PM","21:00"
"8.9","36","86","10.2","4/29/2023, 10:00:00 PM","22:00"
"8.7","35","87","9.9","4/29/2023, 11:00:00 PM","23:00"
"8.7","30","91","9.7","4/30/2023, 12:00:00 AM","00:00"
"8.7","24","92","9.7","4/30/2023, 1:00:00 AM","01:00"
"8.7","19","95","9.9","4/30/2023, 2:00:00 AM","02:00"
"8.6","18","97","9.9","4/30/2023, 3:00:00 AM","03:00"
"8.3","17","96","9.6","4/30/2023, 4:00:00 AM","04:00"
"8.2","16","97","9.6","4/30/2023, 5:00:00 AM","05:00"
"8","20","96","9.6","4/30/2023, 6:00:00 AM","06:00"
"8","25","94","9.9","4/30/2023, 7:00:00 AM","07:00"
"7.9","29","92","10.2","4/30/2023, 8:00:00 AM","08:00"
"8.1","33","90","10.4","4/30/2023, 9:00:00 AM","09:00"
"8.4","38","90","10.7","4/30/2023, 10:00:00 AM","10:00"
"8.8","42","90","10.8","4/30/2023, 11:00:00 AM","11:00"
"9.2","48","83","11.6","4/30/2023, 12:00:00 PM","12:00"
"10.6","55","77","12.7","4/30/2023, 1:00:00 PM","13:00"
"11.4","61","72","13.7","4/30/2023, 2:00:00 PM","14:00"
"11.5","62","71","13.9","4/30/2023, 3:00:00 PM","15:00"
"11.9","64","66","14.3","4/30/2023, 4:00:00 PM","16:00"
"11.7","65","63","14.3","4/30/2023, 5:00:00 PM","17:00"
"11.4","51","64","13.9","4/30/2023, 6:00:00 PM","18:00"
"11","37","69","12.8","4/30/2023, 7:00:00 PM","19:00"
"9.6","23","75","11.2","4/30/2023, 8:00:00 PM","20:00"
"8.8","19","78","10.3","4/30/2023, 9:00:00 PM","21:00"
"8","14","81","9.4","4/30/2023, 10:00:00 PM","22:00"
"7","10","84","8.4","4/30/2023, 11:00:00 PM","23:00"
"6.4","7","84","7.8","5/1/2023, 12:00:00 AM","00:00"
"5.8","3","83","7.3","5/1/2023, 1:00:00 AM","01:00"
"4.9","0","81","6.7","5/1/2023, 2:00:00 AM","02:00"
"3.9","0","81","5.9","5/1/2023, 3:00:00 AM","03:00"
"3","0","81","5.1","5/1/2023, 4:00:00 AM","04:00"
"2.4","0","80","4.7","5/1/2023, 5:00:00 AM","05:00"
"2.9","0","79","5.2","5/1/2023, 6:00:00 AM","06:00"
"4","0","78","6.2","5/1/2023, 7:00:00 AM","07:00"
"5.8","0","75","7.9","5/1/2023, 8:00:00 AM","08:00"
"7.3","1","70","9.4","5/1/2023, 9:00:00 AM","09:00"
"9","2","64","11.1","5/1/2023, 10:00:00 AM","10:00"
"11.6","3","57","13.1","5/1/2023, 11:00:00 AM","11:00"
"12.9","7","53","14.1","5/1/2023, 12:00:00 PM","12:00"
"13.6","12","49","14.8","5/1/2023, 1:00:00 PM","13:00"
"13.9","16","45","15.5","5/1/2023, 2:00:00 PM","14:00"
"13.9","16","43","15.9","5/1/2023, 3:00:00 PM","15:00"
"13.6","16","43","16.1","5/1/2023, 4:00:00 PM","16:00"
"12.9","16","45","15.8","5/1/2023, 5:00:00 PM","17:00"
"12.2","16","51","14.8","5/1/2023, 6:00:00 PM","18:00"
"11.1","16","60","13.4","5/1/2023, 7:00:00 PM","19:00"
"9.8","16","70","11.7","5/1/2023, 8:00:00 PM","20:00"
"9.2","11","72","11.1","5/1/2023, 9:00:00 PM","21:00"
"8.6","5","72","10.7","5/1/2023, 10:00:00 PM","22:00"
"7.9","0","73","10.1","5/1/2023, 11:00:00 PM","23:00"
"7.5","0","76","9.6","5/2/2023, 12:00:00 AM","00:00"
"7","0","79","9","5/2/2023, 1:00:00 AM","01:00"
"6.5","0","83","8.3","5/2/2023, 2:00:00 AM","02:00"
"5.9","0","84","7.8","5/2/2023, 3:00:00 AM","03:00"
"5.2","0","84","7.2","5/2/2023, 4:00:00 AM","04:00"
"5.1","0","82","7.3","5/2/2023, 5:00:00 AM","05:00"
"6.4","0","80","8.3","5/2/2023, 6:00:00 AM","06:00"
"8.3","0","77","9.9","5/2/2023, 7:00:00 AM","07:00"
"10.9","0","72","12.3","5/2/2023, 8:00:00 AM","08:00"
"12.7","2","68","14","5/2/2023, 9:00:00 AM","09:00"
"14.5","4","64","15.8","5/2/2023, 10:00:00 AM","10:00"
"16.5","6","58","17.8","5/2/2023, 11:00:00 AM","11:00"
"17.9","10","53","18.9","5/2/2023, 12:00:00 PM","12:00"
"18.6","15","47","19.7","5/2/2023, 1:00:00 PM","13:00"
"19","19","41","20.4","5/2/2023, 2:00:00 PM","14:00"
"19.3","21","44","20.8","5/2/2023, 3:00:00 PM","15:00"
"19.6","24","48","20.8","5/2/2023, 4:00:00 PM","16:00"
"19.3","26","52","20.2","5/2/2023, 5:00:00 PM","17:00"
"18.2","25","52","19.3","5/2/2023, 6:00:00 PM","18:00"
"16.4","24","50","18.1","5/2/2023, 7:00:00 PM","19:00"
"14.5","23","53","16.4","5/2/2023, 8:00:00 PM","20:00"
"13.8","19","64","15.4","5/2/2023, 9:00:00 PM","21:00"
"13.1","14","79","14.4","5/2/2023, 10:00:00 PM","22:00"
"11.5","10","93","13.1","5/2/2023, 11:00:00 PM","23:00"
"9.8","8","91","12","5/3/2023, 12:00:00 AM","00:00"
"8","5","82","11","5/3/2023, 1:00:00 AM","01:00"
"5.8","3","73","9.6","5/3/2023, 2:00:00 AM","02:00"
"4.5","4","71","8.5","5/3/2023, 3:00:00 AM","03:00"
"3.2","5","72","7.3","5/3/2023, 4:00:00 AM","04:00"
"2.1","6","73","6.3","5/3/2023, 5:00:00 AM","05:00"
"1.9","6","74","6.3","5/3/2023, 6:00:00 AM","06:00"
"2.1","6","75","6.7","5/3/2023, 7:00:00 AM","07:00"
"2.6","6","75","7.3","5/3/2023, 8:00:00 AM","08:00"
"2.8","12","73","7.7","5/3/2023, 9:00:00 AM","09:00"
"3.2","17","71","8.1","5/3/2023, 10:00:00 AM","10:00"
"3.7","23","66","8.7","5/3/2023, 11:00:00 AM","11:00"
"4.3","28","60","9.4","5/3/2023, 12:00:00 PM","12:00"
"5.4","34","52","10.3","5/3/2023, 1:00:00 PM","13:00"
"6.6","39","45","11.1","5/3/2023, 2:00:00 PM","14:00"
"6.3","36","44","11.2","5/3/2023, 3:00:00 PM","15:00"
"5.9","32","44","11.2","5/3/2023, 4:00:00 PM","16:00"
"5.7","29","47","10.7","5/3/2023, 5:00:00 PM","17:00"
"5.6","27","50","10.1","5/3/2023, 6:00:00 PM","18:00"
"5.3","25","53","9.2","5/3/2023, 7:00:00 PM","19:00"
"4.7","23","58","7.9","5/3/2023, 8:00:00 PM","20:00"
"4.2","17","62","7.1","5/3/2023, 9:00:00 PM","21:00"
"3.5","12","66","6.2","5/3/2023, 10:00:00 PM","22:00"
"2.5","6","69","5.3","5/3/2023, 11:00:00 PM","23:00"
