"feelsLike","rain","humidity","temperature","time","datetime"
"10.9","0","76.35","10.9","00:00:00","2023-04-19"
"10.9","0","76.35","10.9","01:00:00","2023-04-19"
"8.7","0","81.61","9.9","02:00:00","2023-04-19"
"8.7","100","81.61","9.9","03:00:00","2023-04-19"
"8.4","0","81.61","9.9","04:00:00","2023-04-19"
"6.4","100","87.28","8.9","05:00:00","2023-04-19"
"6.4","100","87.28","8.9","06:00:00","2023-04-19"
"6.2","100","87.28","8.9","07:00:00","2023-04-19"
"6.9","100","87.28","8.9","08:00:00","2023-04-19"
"6.2","0","87.28","8.9","09:00:00","2023-04-19"
"6.4","0","87.28","8.9","10:00:00","2023-04-19"
"7.7","100","81.61","9.9","11:00:00","2023-04-19"
"10.9","100","76.35","10.9","12:00:00","2023-04-19"
"11.9","0","76.51","11.9","13:00:00","2023-04-19"
"13.9","0","62.7","13.9","14:00:00","2023-04-19"
"12.9","100","66.92","12.9","15:00:00","2023-04-19"
"11.9","100","76.51","11.9","16:00:00","2023-04-19"
"11.9","0","76.51","11.9","17:00:00","2023-04-19"
"11.4","57.1","74.37","11.4","18:00:00","2023-04-19"
"10.7","57.1","80.06","10.7","19:00:00","2023-04-19"
"9.9","57.1","82.74","9.9","20:00:00","2023-04-19"
"9.1","0","84.93","9.1","21:00:00","2023-04-19"
"8.2","0","88.42","8.2","22:00:00","2023-04-19"
"7.4","0","89.59","7.4","23:00:00","2023-04-19"
"6.8","0","90.17","6.8","00:00:00","2023-04-20"
"6.6","0","88.9","6.6","01:00:00","2023-04-20"
"5.9","0","88.85","5.9","02:00:00","2023-04-20"
"5.2","4.8","91.31","5.2","03:00:00","2023-04-20"
"5.1","4.8","91.31","5.1","04:00:00","2023-04-20"
"4.8","4.8","92.59","4.8","05:00:00","2023-04-20"
"4.7","4.8","93.23","4.7","06:00:00","2023-04-20"
"5.2","4.8","93.26","5.2","07:00:00","2023-04-20"
"7.3","4.8","86.53","7.3","08:00:00","2023-04-20"
"8.9","23.8","83.18","8.9","09:00:00","2023-04-20"
"10.3","23.8","81.11","10.3","10:00:00","2023-04-20"
"12.2","23.8","75","12.2","11:00:00","2023-04-20"
"13.7","23.8","68.92","13.7","12:00:00","2023-04-20"
"15.1","23.8","54.9","15.1","13:00:00","2023-04-20"
"15.6","23.8","51","15.6","14:00:00","2023-04-20"
"16.3","42.9","43.34","16.3","15:00:00","2023-04-20"
"16.1","42.9","43.87","16.1","16:00:00","2023-04-20"
"15.8","42.9","42.59","15.8","17:00:00","2023-04-20"
"14.9","42.9","47.4","14.9","18:00:00","2023-04-20"
"13.6","42.9","53","13.6","19:00:00","2023-04-20"
"11.8","42.9","59.66","11.8","20:00:00","2023-04-20"
"10.7","0","63.72","10.7","21:00:00","2023-04-20"
"9.9","0","65.35","9.9","22:00:00","2023-04-20"
"9.2","0","66.1","9.2","23:00:00","2023-04-20"
"8.4","0","67.37","8.4","00:00:00","2023-04-21"
"7.8","0","69.18","7.8","01:00:00","2023-04-21"
"7.2","0","72.07","7.2","02:00:00","2023-04-21"
"6.7","0","75.1","6.7","03:00:00","2023-04-21"
"6.1","0","77.16","6.1","04:00:00","2023-04-21"
"5.6","0","78.75","5.6","05:00:00","2023-04-21"
"5.1","0","80.95","5.1","06:00:00","2023-04-21"
"5.7","0","80.46","5.7","07:00:00","2023-04-21"
"7.9","0","76.92","7.9","08:00:00","2023-04-21"
"10.2","19","67.26","10.2","09:00:00","2023-04-21"
"11.8","19","61.78","11.8","10:00:00","2023-04-21"
"13.4","19","57.21","13.4","11:00:00","2023-04-21"
"14.8","19","48.72","14.8","12:00:00","2023-04-21"
"15.3","19","42.75","15.3","13:00:00","2023-04-21"
"15.4","19","41.88","15.4","14:00:00","2023-04-21"
"15.6","9.5","40.44","15.6","15:00:00","2023-04-21"
"15.7","9.5","39.61","15.7","16:00:00","2023-04-21"
"15.1","9.5","41.46","15.1","17:00:00","2023-04-21"
"14.4","9.5","43.41","14.4","18:00:00","2023-04-21"
"13.1","9.5","51.04","13.1","19:00:00","2023-04-21"
"11.6","9.5","57.12","11.6","20:00:00","2023-04-21"
"10.7","0","59.79","10.7","21:00:00","2023-04-21"
"10.2","0","59.24","10.2","22:00:00","2023-04-21"
"9.7","0","58.3","9.7","23:00:00","2023-04-21"
"9.2","0","59.44","9.2","00:00:00","2023-04-22"
"8.7","0","61.02","8.7","01:00:00","2023-04-22"
"7.6","0","66.22","7.6","02:00:00","2023-04-22"
"6.6","0","71.42","6.6","03:00:00","2023-04-22"
