"feelsLike","rain","humidity","temperature","time","datetime"
"5.6","0","77.08","5.6","04:00:00","2023-04-22"
"5.1","0","79.23","5.1","05:00:00","2023-04-22"
"4.7","0","80.91","4.7","06:00:00","2023-04-22"
"5.2","0","83.31","5.2","07:00:00","2023-04-22"
"8.3","0","82.54","8.3","08:00:00","2023-04-22"
"11.7","4.8","64.37","11.7","09:00:00","2023-04-22"
"13.6","4.8","58.84","13.6","10:00:00","2023-04-22"
"15.1","4.8","54.15","15.1","11:00:00","2023-04-22"
"16.2","4.8","46.75","16.2","12:00:00","2023-04-22"
"16.7","4.8","44.35","16.7","13:00:00","2023-04-22"
"17.2","4.8","42.66","17.2","14:00:00","2023-04-22"
"17.1","0","42.85","17.1","15:00:00","2023-04-22"
"17.1","0","43.04","17.1","16:00:00","2023-04-22"
"17.1","0","43.24","17.1","17:00:00","2023-04-22"
"15.6","0","48.69","15.6","18:00:00","2023-04-22"
"14.1","0","54.89","14.1","19:00:00","2023-04-22"
"12.6","0","61.95","12.6","20:00:00","2023-04-22"
"11.3","0","65.35","11.3","21:00:00","2023-04-22"
"10.1","0","68.99","10.1","22:00:00","2023-04-22"
"8.3","0","72.88","8.8","23:00:00","2023-04-22"
"7.8","0","73.32","8.4","00:00:00","2023-04-23"
"7.2","0","73.77","8.1","01:00:00","2023-04-23"
"6.7","0","74.21","7.7","02:00:00","2023-04-23"
"6.5","0","75.24","7.5","03:00:00","2023-04-23"
"6.3","0","76.28","7.3","04:00:00","2023-04-23"
"6.2","0","77.34","7.2","05:00:00","2023-04-23"
"7.7","0","76.1","8.4","06:00:00","2023-04-23"
"9.3","0","74.91","9.6","07:00:00","2023-04-23"
"10.8","0","73.75","10.8","08:00:00","2023-04-23"
"13.0","0","65.42","13.0","09:00:00","2023-04-23"
"15.2","0","58.17","15.2","10:00:00","2023-04-23"
"17.3","0","51.84","17.3","11:00:00","2023-04-23"
"18.1","0","47.51","18.1","12:00:00","2023-04-23"
"18.8","0","43.54","18.8","13:00:00","2023-04-23"
"19.6","0","39.9","19.6","14:00:00","2023-04-23"
"19.3","4.8","40.12","19.3","15:00:00","2023-04-23"
"19.2","4.8","40.35","19.2","16:00:00","2023-04-23"
"18.9","4.8","40.57","18.9","17:00:00","2023-04-23"
"17.8","4.8","43.14","17.8","18:00:00","2023-04-23"
"16.6","4.8","45.89","16.6","19:00:00","2023-04-23"
"15.3","4.8","48.86","15.3","20:00:00","2023-04-23"
"14.7","0","51","14.7","21:00:00","2023-04-23"
"14.0","0","53.25","14.0","22:00:00","2023-04-23"
"13.3","0","55.61","13.3","23:00:00","2023-04-23"
"12.4","0","60.64","12.4","00:00:00","2023-04-24"
"11.5","0","66.15","11.5","01:00:00","2023-04-24"
"10.6","0","72.19","10.6","02:00:00","2023-04-24"
"10.3","4.8","73.65","10.3","03:00:00","2023-04-24"
"10.0","4.8","75.15","10.0","04:00:00","2023-04-24"
"9.7","4.8","76.68","9.7","05:00:00","2023-04-24"
"8.4","4.8","73.96","9.2","06:00:00","2023-04-24"
"8.9","4.8","75.61","9.7","07:00:00","2023-04-24"
"10.8","4.8","70.76","10.8","08:00:00","2023-04-24"
"12.5","57.1","64.87","12.5","09:00:00","2023-04-24"
"14.2","57.1","59.54","14.2","10:00:00","2023-04-24"
"15.8","57.1","54.73","15.8","11:00:00","2023-04-24"
"16.3","57.1","51.56","16.3","12:00:00","2023-04-24"
"16.8","57.1","48.58","16.8","13:00:00","2023-04-24"
"17.3","57.1","45.77","17.3","14:00:00","2023-04-24"
"17.3","61.9","46.2","17.3","15:00:00","2023-04-24"
"17.3","61.9","46.63","17.3","16:00:00","2023-04-24"
"17.3","61.9","47.06","17.3","17:00:00","2023-04-24"
"15.3","61.9","57.01","15.3","18:00:00","2023-04-24"
"13.3","61.9","69.17","13.3","19:00:00","2023-04-24"
"11.3","61.9","84.04","11.3","20:00:00","2023-04-24"
"10.9","57.1","87.08","10.9","21:00:00","2023-04-24"
"10.5","57.1","90.23","10.5","22:00:00","2023-04-24"
"10.1","57.1","93.51","10.1","23:00:00","2023-04-24"
"7.6","57.1","94.12","9.7","00:00:00","2023-04-25"
"6.8","57.1","94.74","9.2","01:00:00","2023-04-25"
"6.1","57.1","95.37","8.8","02:00:00","2023-04-25"
"6.1","38.1","95.58","8.5","03:00:00","2023-04-25"
"6.2","38.1","95.78","8.2","04:00:00","2023-04-25"
"6.4","38.1","95.99","7.8","05:00:00","2023-04-25"
"6.7","38.1","95.12","7.9","06:00:00","2023-04-25"
"7.1","38.1","94.26","8.1","07:00:00","2023-04-25"
"7.4","38.1","93.41","8.2","08:00:00","2023-04-25"
"7.2","42.9","91.94","8.3","09:00:00","2023-04-25"
"7.0","42.9","90.49","8.4","10:00:00","2023-04-25"
"6.9","42.9","89.06","8.6","11:00:00","2023-04-25"
"8.0","42.9","83.62","9.4","12:00:00","2023-04-25"
"10.2","42.9","78.54","10.2","13:00:00","2023-04-25"
"11.1","42.9","73.79","11.1","14:00:00","2023-04-25"
"11.2","61.9","73.64","11.2","15:00:00","2023-04-25"
"11.2","61.9","73.49","11.2","16:00:00","2023-04-25"
"11.3","61.9","73.34","11.3","17:00:00","2023-04-25"
"10.6","61.9","78.41","10.6","18:00:00","2023-04-25"
"8.2","61.9","83.85","9.8","19:00:00","2023-04-25"
"7.1","61.9","89.71","8.9","20:00:00","2023-04-25"
"5.4","57.1","91.08","7.9","21:00:00","2023-04-25"
"3.7","57.1","92.49","6.9","22:00:00","2023-04-25"
"2.0","57.1","93.94","5.8","23:00:00","2023-04-25"
"2.2","57.1","93.07","5.7","00:00:00","2023-04-26"
"2.5","57.1","92.19","5.5","01:00:00","2023-04-26"
"2.8","57.1","91.33","5.3","02:00:00","2023-04-26"
"2.9","42.9","91.11","5.2","03:00:00","2023-04-26"
"3.0","42.9","90.89","5.2","04:00:00","2023-04-26"
"3.1","42.9","90.67","5.1","05:00:00","2023-04-26"
"2.9","42.9","86.71","5.2","06:00:00","2023-04-26"
"2.7","42.9","82.92","5.2","07:00:00","2023-04-26"
"2.5","42.9","79.28","5.3","08:00:00","2023-04-26"
"3.7","33.3","73.26","6.2","09:00:00","2023-04-26"
"4.8","33.3","67.72","7.1","10:00:00","2023-04-26"
"5.9","33.3","62.62","7.9","11:00:00","2023-04-26"
"6.2","33.3","61.2","8.2","12:00:00","2023-04-26"
"6.5","33.3","59.82","8.5","13:00:00","2023-04-26"
"6.8","33.3","58.47","8.7","14:00:00","2023-04-26"
"6.9","14.3","58.49","8.8","15:00:00","2023-04-26"
"7.0","14.3","58.5","8.9","16:00:00","2023-04-26"
"7.1","14.3","58.52","8.9","17:00:00","2023-04-26"
"5.8","14.3","62.3","7.8","18:00:00","2023-04-26"
"4.5","14.3","66.36","6.8","19:00:00","2023-04-26"
"3.2","14.3","70.74","5.7","20:00:00","2023-04-26"
"2.4","9.5","72.63","4.7","21:00:00","2023-04-26"
"1.6","9.5","74.59","3.8","22:00:00","2023-04-26"
"0.9","9.5","76.63","2.8","23:00:00","2023-04-26"
